"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms6",,,,"User:","tivan"
"Cmdline:","dstat --time --cpu --mem --net --output report.csv",,,,"Date:","05 Nov 2017 14:42:46 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
05-11 14:42:46,1.131,1.743,93.265,2.130,1.731,0.0,102117376.0,14798848.0,141021184.0,1501929472.0,0.0,0.0
05-11 14:42:47,0.0,0.0,100.0,0.0,0.0,0.0,102129664.0,14798848.0,141025280.0,1501913088.0,246.0,330.0
05-11 14:42:48,1.0,0.0,99.0,0.0,0.0,0.0,102129664.0,14798848.0,141025280.0,1501913088.0,352.0,430.0
05-11 14:42:49,0.0,0.990,99.010,0.0,0.0,0.0,102510592.0,14798848.0,141025280.0,1501532160.0,740.0,1264.0
05-11 14:42:50,0.0,1.010,98.990,0.0,0.0,0.0,102510592.0,14798848.0,141025280.0,1501532160.0,1172.0,2550.0
05-11 14:42:51,1.0,0.0,99.0,0.0,0.0,0.0,102510592.0,14798848.0,141025280.0,1501532160.0,1045.0,2691.0
05-11 14:42:52,0.0,1.0,96.0,3.0,0.0,0.0,102502400.0,14807040.0,141025280.0,1501532160.0,564.0,1352.0
05-11 14:42:53,0.0,1.0,99.0,0.0,0.0,0.0,102502400.0,14807040.0,141025280.0,1501532160.0,1004.0,1528.0
05-11 14:42:54,1.0,0.0,99.0,0.0,0.0,0.0,102502400.0,14807040.0,141025280.0,1501532160.0,1004.0,1528.0
05-11 14:42:55,0.0,1.0,99.0,0.0,0.0,0.0,102502400.0,14807040.0,141025280.0,1501532160.0,1180.0,1638.0
05-11 14:42:56,0.0,1.0,99.0,0.0,0.0,0.0,102629376.0,14807040.0,141025280.0,1501405184.0,1832.0,2946.0
05-11 14:42:57,1.0,0.0,99.0,0.0,0.0,0.0,102883328.0,14807040.0,141025280.0,1501151232.0,1004.0,1528.0
05-11 14:42:58,0.0,1.0,95.0,4.0,0.0,0.0,102875136.0,14815232.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:42:59,0.0,0.0,100.0,0.0,0.0,0.0,102875136.0,14815232.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:00,0.0,0.990,99.010,0.0,0.0,0.0,102875136.0,14815232.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:01,0.0,0.0,100.0,0.0,0.0,0.0,102875136.0,14815232.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:02,0.0,0.0,99.010,0.0,0.990,0.0,102875136.0,14815232.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:03,0.0,0.990,99.010,0.0,0.0,0.0,102875136.0,14815232.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:04,0.0,0.0,96.970,3.030,0.0,0.0,102866944.0,14823424.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:05,0.990,0.0,99.010,0.0,0.0,0.0,102866944.0,14823424.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:06,0.0,1.0,99.0,0.0,0.0,0.0,102866944.0,14823424.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:07,0.0,0.0,100.0,0.0,0.0,0.0,102866944.0,14823424.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:08,0.0,0.0,100.0,0.0,0.0,0.0,102866944.0,14823424.0,141025280.0,1501151232.0,60.0,54.0
05-11 14:43:09,0.0,1.0,92.0,7.0,0.0,0.0,102858752.0,14831616.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:10,0.0,0.0,100.0,0.0,0.0,0.0,102858752.0,14831616.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:11,0.0,0.0,100.0,0.0,0.0,0.0,102858752.0,14831616.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:12,0.0,0.0,100.0,0.0,0.0,0.0,102858752.0,14831616.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:13,0.0,0.990,99.010,0.0,0.0,0.0,102858752.0,14831616.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:14,0.0,0.0,95.0,5.0,0.0,0.0,102850560.0,14839808.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:15,0.0,0.0,100.0,0.0,0.0,0.0,102850560.0,14839808.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:16,0.980,0.980,98.039,0.0,0.0,0.0,102850560.0,14839808.0,141025280.0,1501151232.0,74.0,409.0
05-11 14:43:17,0.0,0.0,100.0,0.0,0.0,0.0,102850560.0,14839808.0,141025280.0,1501151232.0,385.0,710.0
05-11 14:43:18,0.0,0.0,100.0,0.0,0.0,0.0,102850560.0,14839808.0,141025280.0,1501151232.0,0.0,0.0
05-11 14:43:19,0.0,1.0,96.0,3.0,0.0,0.0,102969344.0,14848000.0,141025280.0,1501024256.0,0.0,0.0
05-11 14:43:20,0.0,0.0,100.0,0.0,0.0,0.0,102969344.0,14848000.0,141025280.0,1501024256.0,0.0,0.0
05-11 14:43:21,0.0,0.0,100.0,0.0,0.0,0.0,102969344.0,14848000.0,141025280.0,1501024256.0,0.0,0.0
05-11 14:43:22,0.0,0.990,99.010,0.0,0.0,0.0,102969344.0,14848000.0,141025280.0,1501024256.0,0.0,0.0
05-11 14:43:23,0.0,0.0,100.0,0.0,0.0,0.0,102969344.0,14848000.0,141025280.0,1501024256.0,0.0,0.0
05-11 14:43:24,0.0,0.0,96.0,4.0,0.0,0.0,102957056.0,14856192.0,141029376.0,1501024256.0,0.0,0.0
05-11 14:43:25,12.871,11.881,74.257,0.0,0.990,0.0,111902720.0,14856192.0,141029376.0,1492078592.0,5306.0,4267.0
05-11 14:43:26,28.283,33.333,38.384,0.0,0.0,0.0,103755776.0,14856192.0,141041664.0,1500213248.0,2492.0,1610.0
05-11 14:43:27,4.0,6.0,85.0,0.0,5.0,0.0,106299392.0,14856192.0,141033472.0,1497677824.0,4661355.0,307792.0
05-11 14:43:28,3.960,5.941,84.158,0.0,5.941,0.0,106807296.0,14856192.0,141033472.0,1497169920.0,5083292.0,335146.0
05-11 14:43:29,4.040,7.071,83.838,0.0,5.051,0.0,108806144.0,14856192.0,141033472.0,1495171072.0,5592791.0,368890.0
05-11 14:43:30,4.950,5.941,78.218,5.941,4.950,0.0,109940736.0,14864384.0,141033472.0,1494028288.0,5259474.0,346764.0
05-11 14:43:31,4.040,6.061,84.848,0.0,5.051,0.0,109940736.0,14864384.0,141033472.0,1494028288.0,5212360.0,343508.0
05-11 14:43:32,4.0,6.0,84.0,0.0,6.0,0.0,110989312.0,14864384.0,141033472.0,1492979712.0,5488579.0,362008.0
05-11 14:43:33,4.950,6.931,83.168,0.0,4.950,0.0,111972352.0,14864384.0,141033472.0,1491996672.0,5394238.0,355348.0
05-11 14:43:34,4.040,6.061,84.848,0.0,5.051,0.0,111972352.0,14864384.0,141033472.0,1491996672.0,5585016.0,368372.0
05-11 14:43:35,5.0,6.0,84.0,0.0,5.0,0.0,113020928.0,14864384.0,141033472.0,1490948096.0,5696094.0,375550.0
05-11 14:43:36,4.0,7.0,81.0,2.0,6.0,0.0,113020928.0,14872576.0,141025280.0,1490948096.0,5618628.0,370444.0
05-11 14:43:37,5.0,6.0,84.0,0.0,5.0,0.0,114122752.0,14872576.0,141033472.0,1489838080.0,5560351.0,366818.0
05-11 14:43:38,4.040,7.071,83.838,0.0,5.051,0.0,114122752.0,14872576.0,141033472.0,1489838080.0,5588376.0,368224.0
05-11 14:43:39,5.0,6.0,84.0,0.0,5.0,0.0,114122752.0,14872576.0,141033472.0,1489838080.0,5542342.0,365412.0
05-11 14:43:40,3.960,6.931,83.168,0.0,5.941,0.0,115298304.0,14872576.0,141033472.0,1488662528.0,5737582.0,378214.0
05-11 14:43:41,5.0,6.0,84.0,0.0,5.0,0.0,115298304.0,14872576.0,141033472.0,1488662528.0,5572772.0,367538.0
05-11 14:43:42,4.040,7.071,79.798,4.040,5.051,0.0,115265536.0,14880768.0,141025280.0,1488695296.0,5584374.0,369417.0
05-11 14:43:43,4.950,6.931,82.178,0.0,5.941,0.0,115257344.0,14880768.0,141033472.0,1488695296.0,5518881.0,363858.0
05-11 14:43:44,4.040,6.061,84.848,0.0,5.051,0.0,115322880.0,14880768.0,141033472.0,1488629760.0,5686055.0,374736.0
05-11 14:43:45,4.950,6.931,82.178,0.0,5.941,0.0,115257344.0,14880768.0,141033472.0,1488695296.0,5641061.0,371998.0
05-11 14:43:46,4.040,6.061,84.848,0.0,5.051,0.0,115257344.0,14880768.0,141033472.0,1488695296.0,5587282.0,368446.0
05-11 14:43:47,4.0,7.0,83.0,0.0,6.0,0.0,115900416.0,14880768.0,141033472.0,1488052224.0,5127137.0,338032.0
05-11 14:43:48,5.0,6.0,81.0,3.0,5.0,0.0,115933184.0,14888960.0,141025280.0,1488019456.0,5490760.0,361860.0
05-11 14:43:49,4.040,6.061,84.848,0.0,5.051,0.0,116305920.0,14888960.0,141033472.0,1487638528.0,5466102.0,360232.0
05-11 14:43:50,3.960,6.931,83.168,0.0,5.941,0.0,116273152.0,14888960.0,141033472.0,1487671296.0,5668057.0,374144.0
05-11 14:43:51,5.051,6.061,83.838,0.0,5.051,0.0,116400128.0,14888960.0,141033472.0,1487544320.0,5615279.0,369778.0
05-11 14:43:52,4.0,6.0,85.0,0.0,5.0,0.0,116400128.0,14888960.0,141033472.0,1487544320.0,5412205.0,357124.0
05-11 14:43:53,4.0,6.0,84.0,0.0,6.0,0.0,116432896.0,14888960.0,141033472.0,1487511552.0,5411053.0,356458.0
05-11 14:43:54,4.950,6.931,67.327,15.842,4.950,0.0,116400128.0,14897152.0,141025280.0,1487544320.0,5495319.0,362708.0
05-11 14:43:55,4.040,7.071,82.828,0.0,6.061,0.0,116391936.0,14897152.0,141033472.0,1487544320.0,5615352.0,370276.0
05-11 14:43:56,4.950,5.941,83.168,0.0,5.941,0.0,116424704.0,14897152.0,141033472.0,1487511552.0,5462792.0,359916.0
05-11 14:43:57,4.040,7.071,83.838,0.0,5.051,0.0,116391936.0,14897152.0,141033472.0,1487544320.0,5479492.0,361712.0
05-11 14:43:58,4.950,5.941,83.168,0.0,5.941,0.0,116424704.0,14897152.0,141033472.0,1487511552.0,5275226.0,347504.0
05-11 14:43:59,4.0,6.0,85.0,0.0,5.0,0.0,116391936.0,14897152.0,141033472.0,1487544320.0,5436829.0,358456.0
05-11 14:44:00,4.040,6.061,82.828,2.020,5.051,0.0,116387840.0,14905344.0,141029376.0,1487544320.0,5461474.0,360084.0
05-11 14:44:01,5.0,6.0,83.0,0.0,6.0,0.0,116412416.0,14905344.0,141037568.0,1487511552.0,5593992.0,369018.0
05-11 14:44:02,4.0,7.0,83.0,0.0,6.0,0.0,116412416.0,14905344.0,141037568.0,1487511552.0,5498639.0,362378.0
05-11 14:44:03,4.040,6.061,84.848,0.0,5.051,0.0,116379648.0,14905344.0,141037568.0,1487544320.0,5491880.0,362082.0
05-11 14:44:04,4.950,5.941,84.158,0.0,4.950,0.0,116379648.0,14905344.0,141037568.0,1487544320.0,5665938.0,373700.0
05-11 14:44:05,4.040,6.061,84.848,0.0,5.051,0.0,116412416.0,14905344.0,141037568.0,1487511552.0,5581648.0,367854.0
05-11 14:44:06,3.960,6.931,71.287,11.881,5.941,0.0,116412416.0,14913536.0,141029376.0,1487511552.0,5407708.0,356532.0
05-11 14:44:07,5.0,6.0,84.0,0.0,5.0,0.0,116404224.0,14913536.0,141037568.0,1487511552.0,5561976.0,367937.0
05-11 14:44:08,3.960,6.931,83.168,0.0,5.941,0.0,116371456.0,14913536.0,141037568.0,1487544320.0,5274167.0,347632.0
05-11 14:44:09,4.0,6.0,85.0,0.0,5.0,0.0,116371456.0,14913536.0,141037568.0,1487544320.0,5294262.0,349058.0
05-11 14:44:10,5.051,6.061,83.838,0.0,5.051,0.0,116371456.0,14913536.0,141037568.0,1487544320.0,5682490.0,374736.0
05-11 14:44:11,4.040,6.061,84.848,0.0,5.051,0.0,116436992.0,14913536.0,141037568.0,1487478784.0,5675944.0,374198.0
05-11 14:44:12,4.950,6.931,76.238,5.941,5.941,0.0,116404224.0,14921728.0,141029376.0,1487511552.0,5287556.0,348466.0
05-11 14:44:13,4.0,6.0,84.0,0.0,6.0,0.0,116363264.0,14921728.0,141037568.0,1487544320.0,5363906.0,353996.0
05-11 14:44:14,4.040,6.061,83.838,0.0,6.061,0.0,116363264.0,14921728.0,141037568.0,1487544320.0,5476196.0,360952.0
05-11 14:44:15,4.950,5.941,84.158,0.0,4.950,0.0,116363264.0,14921728.0,141037568.0,1487544320.0,5441339.0,358752.0
05-11 14:44:16,4.040,6.061,84.848,0.0,5.051,0.0,116428800.0,14921728.0,141037568.0,1487478784.0,5185374.0,341880.0
05-11 14:44:17,3.960,6.931,83.168,0.0,5.941,0.0,116396032.0,14921728.0,141037568.0,1487511552.0,5434690.0,358850.0
05-11 14:44:18,4.040,6.061,73.737,11.111,5.051,0.0,116396032.0,14929920.0,141029376.0,1487511552.0,5416833.0,357276.0
05-11 14:44:19,5.0,6.0,84.0,0.0,5.0,0.0,116355072.0,14929920.0,141037568.0,1487544320.0,5569242.0,367114.0
05-11 14:44:20,5.0,7.0,82.0,0.0,6.0,0.0,116355072.0,14929920.0,141037568.0,1487544320.0,5792674.0,381692.0
05-11 14:44:21,4.0,6.0,84.0,0.0,6.0,0.0,116387840.0,14929920.0,141037568.0,1487511552.0,5476328.0,361598.0
05-11 14:44:22,4.040,6.061,84.848,0.0,5.051,0.0,116387840.0,14929920.0,141037568.0,1487511552.0,5491787.0,361934.0
05-11 14:44:23,4.950,6.931,83.168,0.0,4.950,0.0,116355072.0,14929920.0,141037568.0,1487544320.0,5694893.0,375476.0
05-11 14:44:24,4.0,6.0,69.0,15.0,6.0,0.0,116355072.0,14938112.0,141029376.0,1487544320.0,5493031.0,362008.0
05-11 14:44:25,4.0,6.0,85.0,0.0,5.0,0.0,116346880.0,14938112.0,141037568.0,1487544320.0,5195453.0,342842.0
05-11 14:44:26,4.040,6.061,84.848,0.0,5.051,0.0,116379648.0,14938112.0,141037568.0,1487511552.0,5515486.0,363340.0
05-11 14:44:27,1.0,1.0,98.0,0.0,0.0,0.0,116346880.0,14938112.0,141037568.0,1487544320.0,692576.0,46276.0
05-11 14:44:28,0.0,0.990,98.020,0.0,0.990,0.0,116346880.0,14938112.0,141037568.0,1487544320.0,0.0,0.0
05-11 14:44:29,0.0,0.0,100.0,0.0,0.0,0.0,116346880.0,14938112.0,141037568.0,1487544320.0,0.0,0.0
05-11 14:44:30,1.0,2.0,85.0,11.0,1.0,0.0,116346880.0,14946304.0,141029376.0,1487544320.0,1250424.0,83054.0
05-11 14:44:31,4.040,5.051,85.859,0.0,5.051,0.0,116338688.0,14946304.0,141037568.0,1487544320.0,5381839.0,354978.0
05-11 14:44:32,4.950,6.931,83.168,0.0,4.950,0.0,116338688.0,14946304.0,141037568.0,1487544320.0,5421571.0,358539.0
05-11 14:44:33,4.040,6.061,82.828,0.0,7.071,0.0,116338688.0,14946304.0,141037568.0,1487544320.0,5299849.0,349132.0
05-11 14:44:34,4.0,6.0,85.0,0.0,5.0,0.0,116371456.0,14946304.0,141037568.0,1487511552.0,5474963.0,360972.0
05-11 14:44:35,4.950,5.941,83.168,0.0,5.941,0.0,116338688.0,14946304.0,141037568.0,1487544320.0,5455992.0,359862.0
05-11 14:44:36,4.040,7.071,75.758,8.081,5.051,0.0,116338688.0,14954496.0,141029376.0,1487544320.0,5603041.0,369408.0
05-11 14:44:37,4.950,5.941,83.168,0.0,5.941,0.0,116326400.0,14954496.0,141041664.0,1487544320.0,5443581.0,358900.0
05-11 14:44:38,4.0,6.0,84.0,0.0,6.0,0.0,116326400.0,14954496.0,141041664.0,1487544320.0,5450348.0,359270.0
05-11 14:44:39,4.040,7.071,83.838,0.0,5.051,0.0,116359168.0,14954496.0,141041664.0,1487511552.0,5536662.0,364968.0
05-11 14:44:40,3.960,6.931,83.168,0.0,5.941,0.0,116359168.0,14954496.0,141041664.0,1487511552.0,5492997.0,362378.0
05-11 14:44:41,4.040,6.061,84.848,0.0,5.051,0.0,116326400.0,14954496.0,141041664.0,1487544320.0,5387540.0,355180.0
05-11 14:44:42,5.0,7.0,80.0,3.0,5.0,0.0,116453376.0,14962688.0,141033472.0,1487417344.0,5590630.0,368742.0
05-11 14:44:43,4.040,7.071,82.828,0.0,6.061,0.0,116445184.0,14962688.0,141041664.0,1487417344.0,5494043.0,362082.0
05-11 14:44:44,4.902,5.882,83.333,0.0,5.882,0.0,116477952.0,14962688.0,141041664.0,1487384576.0,5576001.0,367632.0
05-11 14:44:45,4.040,6.061,84.848,0.0,5.051,0.0,116477952.0,14962688.0,141041664.0,1487384576.0,5486290.0,361712.0
05-11 14:44:46,4.040,6.061,83.838,0.0,6.061,0.0,116445184.0,14962688.0,141041664.0,1487417344.0,5317938.0,350464.0
05-11 14:44:47,4.0,6.0,84.0,0.0,6.0,0.0,116445184.0,14962688.0,141041664.0,1487417344.0,5316803.0,350686.0
05-11 14:44:48,3.960,6.931,73.267,9.901,5.941,0.0,116445184.0,14970880.0,141033472.0,1487417344.0,5579415.0,367706.0
05-11 14:44:49,4.082,6.122,84.694,0.0,5.102,0.0,116469760.0,14970880.0,141041664.0,1487384576.0,5720749.0,377326.0
05-11 14:44:50,4.902,6.863,82.353,0.0,5.882,0.0,116469760.0,14970880.0,141041664.0,1487384576.0,5753413.0,379324.0
05-11 14:44:51,4.040,6.061,84.848,0.0,5.051,0.0,116436992.0,14970880.0,141041664.0,1487417344.0,5598673.0,368874.0
05-11 14:44:52,4.950,5.941,83.168,0.0,5.941,0.0,116436992.0,14970880.0,141041664.0,1487417344.0,5598500.0,369408.0
05-11 14:44:53,4.040,6.061,84.848,0.0,5.051,0.0,116436992.0,14970880.0,141041664.0,1487417344.0,5286527.0,348392.0
05-11 14:44:54,4.0,7.0,81.0,2.0,6.0,0.0,116436992.0,14979072.0,141033472.0,1487417344.0,5602914.0,369408.0
05-11 14:44:55,4.0,7.0,83.0,0.0,6.0,0.0,116461568.0,14979072.0,141041664.0,1487384576.0,5781401.0,381322.0
05-11 14:44:56,5.0,6.0,84.0,0.0,5.0,0.0,116428800.0,14979072.0,141041664.0,1487417344.0,5575088.0,367612.0
05-11 14:44:57,4.950,6.931,82.178,0.0,5.941,0.0,116428800.0,14979072.0,141041664.0,1487417344.0,5462140.0,361395.0
05-11 14:44:58,4.040,6.061,84.848,0.0,5.051,0.0,116428800.0,14979072.0,141041664.0,1487417344.0,5717450.0,376956.0
05-11 14:44:59,4.0,6.0,85.0,0.0,5.0,0.0,116428800.0,14979072.0,141041664.0,1487417344.0,5468221.0,360528.0
05-11 14:45:00,4.040,6.061,78.788,6.061,5.051,0.0,116461568.0,14987264.0,141033472.0,1487384576.0,5462742.0,360158.0
05-11 14:45:01,4.0,6.0,85.0,0.0,5.0,0.0,116420608.0,14987264.0,141041664.0,1487417344.0,5364974.0,353424.0
05-11 14:45:02,4.0,6.0,84.0,0.0,6.0,0.0,116420608.0,14987264.0,141041664.0,1487417344.0,5480699.0,361564.0
05-11 14:45:03,4.040,6.061,84.848,0.0,5.051,0.0,116420608.0,14987264.0,141041664.0,1487417344.0,5363826.0,353572.0
05-11 14:45:04,4.902,6.863,82.353,0.0,5.882,0.0,116420608.0,14987264.0,141041664.0,1487417344.0,5608488.0,370074.0
05-11 14:45:05,4.040,6.061,84.848,0.0,5.051,0.0,116420608.0,14987264.0,141041664.0,1487417344.0,5662442.0,373182.0
