Chart Title: ,foraslvms6 Percentage CPU (Avg)
,
Tue Nov 07 2017 15:00:00 GMT+0100 (CET),
Tue Nov 07 2017 17:10:00 GMT+0100 (CET),
Grain: Automatic,
Aggregation type: Avg,
Grouping: None,
Filters: None,
,
,"foraslvms6, Percentage CPU (Avg)"
11/7/2017 14:45,1
11/7/2017 14:46,1.15
11/7/2017 14:47,15.185
11/7/2017 14:48,0.985
11/7/2017 14:49,0.98
11/7/2017 14:50,0.985
11/7/2017 14:51,1.055
11/7/2017 14:52,0.985
11/7/2017 14:53,0.995
11/7/2017 14:54,1.025
11/7/2017 14:55,0.845
11/7/2017 14:56,1
11/7/2017 14:57,1.045
11/7/2017 14:58,0.97
11/7/2017 14:59,1.015
11/7/2017 15:00,0.96
11/7/2017 15:01,1.025
11/7/2017 15:02,31.505
11/7/2017 15:03,49.135
11/7/2017 15:04,48.505
11/7/2017 15:05,57.94
11/7/2017 15:06,64.64
11/7/2017 15:07,64.59
11/7/2017 15:08,68.335
11/7/2017 15:09,74.795
11/7/2017 15:10,74.68
11/7/2017 15:11,76.415
11/7/2017 15:12,81.055
11/7/2017 15:13,80.685
11/7/2017 15:14,81.745
11/7/2017 15:15,86.675
11/7/2017 15:16,84.42
11/7/2017 15:17,84.555
11/7/2017 15:18,85.825
11/7/2017 15:19,86.54
11/7/2017 15:20,88.385
11/7/2017 15:21,87.175
11/7/2017 15:22,86.56
11/7/2017 15:23,86.875
11/7/2017 15:24,87.09
11/7/2017 15:25,85.99
11/7/2017 15:26,86.725
11/7/2017 15:27,87.03
11/7/2017 15:28,87.1
11/7/2017 15:29,87.22
11/7/2017 15:30,27.09
11/7/2017 15:31,1.025
11/7/2017 15:32,1.05
11/7/2017 15:33,1.01
11/7/2017 15:34,11.995
11/7/2017 15:35,47.94
11/7/2017 15:36,43.92
11/7/2017 15:37,43.8
11/7/2017 15:38,42.665
11/7/2017 15:39,42.965
11/7/2017 15:40,43.13
11/7/2017 15:41,39.555
11/7/2017 15:42,40.375
11/7/2017 15:43,40.04
11/7/2017 15:44,37.485
11/7/2017 15:45,37.775
11/7/2017 15:46,37.57
11/7/2017 15:47,37.07
11/7/2017 15:48,37.145
11/7/2017 15:49,37.085
11/7/2017 15:50,36.125
11/7/2017 15:51,36.555
11/7/2017 15:52,36.57
11/7/2017 15:53,36.46
11/7/2017 15:54,36.13
11/7/2017 15:55,36.24
11/7/2017 15:56,36.485
11/7/2017 15:57,36.03
11/7/2017 15:58,35.635
11/7/2017 15:59,36
11/7/2017 16:00,36.33
11/7/2017 16:01,36.235
11/7/2017 16:02,23.485
11/7/2017 16:03,1.045
11/7/2017 16:04,1.03
11/7/2017 16:05,1.015
11/7/2017 16:06,0.765
11/7/2017 16:07,1.45
11/7/2017 16:08,1.15
11/7/2017 16:09,1.315
11/7/2017 16:10,6.025
11/7/2017 16:11,17.05
11/7/2017 16:12,17.765
11/7/2017 16:13,18.08
11/7/2017 16:14,26.995
11/7/2017 16:15,28.03
11/7/2017 16:16,27.895
11/7/2017 16:17,39.99
11/7/2017 16:18,39.355
11/7/2017 16:19,39.07
11/7/2017 16:20,44.22
11/7/2017 16:21,44.035
11/7/2017 16:22,43.89
11/7/2017 16:23,48.47
11/7/2017 16:24,48.895
11/7/2017 16:25,48.435
11/7/2017 16:26,49.59
11/7/2017 16:27,51.235
11/7/2017 16:28,50.95
11/7/2017 16:29,49.8
11/7/2017 16:30,49.02
11/7/2017 16:31,47.95
11/7/2017 16:32,48.915
11/7/2017 16:33,51.05
11/7/2017 16:34,49.77
11/7/2017 16:35,48.525
11/7/2017 16:36,47.185
11/7/2017 16:37,49.745
11/7/2017 16:38,32.89
11/7/2017 16:39,0.975
11/7/2017 16:40,15
11/7/2017 16:41,16.36
11/7/2017 16:42,16.425
11/7/2017 16:43,24.175
11/7/2017 16:44,25.02
11/7/2017 16:45,25.435
11/7/2017 16:46,30.99
11/7/2017 16:47,34.9
11/7/2017 16:48,33.235
11/7/2017 16:49,36.41
11/7/2017 16:50,37.285
11/7/2017 16:51,37.84
11/7/2017 16:52,41.09
11/7/2017 16:53,40.615
11/7/2017 16:54,41.105
11/7/2017 16:55,41.76
11/7/2017 16:56,41.545
11/7/2017 16:57,43.945
11/7/2017 16:58,45.015
11/7/2017 16:59,46.15
11/7/2017 17:00,45.145
11/7/2017 17:01,45.46
11/7/2017 17:02,45.255
11/7/2017 17:03,45.62
11/7/2017 17:04,45.45
11/7/2017 17:05,44.58
11/7/2017 17:06,42.85
11/7/2017 17:07,44.565
11/7/2017 17:08,0.99
11/7/2017 17:09,1.005
11/7/2017 17:10,1.045
11/7/2017 17:11,1.02
11/7/2017 17:12,1
11/7/2017 17:13,1.035
11/7/2017 17:14,1.03
11/7/2017 17:15,0.98
11/7/2017 17:16,0.355
