"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","foraslvms6",,,,"User:","tivan"
"Cmdline:","dstat --time --cpu --mem --net --output report2_1.csv",,,,"Date:","05 Nov 2017 16:35:33 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send"
05-11 16:35:33,3.780,7.119,78.479,1.398,9.224,0.0,104144896.0,22061056.0,142516224.0,1491144704.0,0.0,0.0
05-11 16:35:34,0.0,0.0,100.0,0.0,0.0,0.0,104148992.0,22061056.0,142520320.0,1491136512.0,120.0,54.0
05-11 16:35:35,0.0,0.0,100.0,0.0,0.0,0.0,104148992.0,22061056.0,142520320.0,1491136512.0,168.0,102.0
05-11 16:35:36,0.0,1.0,99.0,0.0,0.0,0.0,104148992.0,22061056.0,142520320.0,1491136512.0,906.0,612.0
05-11 16:35:37,0.0,0.0,100.0,0.0,0.0,0.0,104148992.0,22061056.0,142520320.0,1491136512.0,606.0,408.0
05-11 16:35:38,0.990,0.990,98.020,0.0,0.0,0.0,104284160.0,22061056.0,142520320.0,1491001344.0,762.0,1286.0
05-11 16:35:39,0.0,0.0,75.0,25.0,0.0,0.0,104267776.0,22069248.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:40,0.0,0.0,100.0,0.0,0.0,0.0,104267776.0,22069248.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:41,0.0,0.990,99.010,0.0,0.0,0.0,104267776.0,22069248.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:42,0.0,0.0,100.0,0.0,0.0,0.0,104267776.0,22069248.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:43,0.0,0.0,100.0,0.0,0.0,0.0,104267776.0,22069248.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:44,0.0,1.0,95.0,4.0,0.0,0.0,104259584.0,22077440.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:45,0.0,0.0,100.0,0.0,0.0,0.0,104259584.0,22077440.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:46,0.0,0.0,100.0,0.0,0.0,0.0,104259584.0,22077440.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:47,0.0,0.990,99.010,0.0,0.0,0.0,104259584.0,22077440.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:48,0.0,0.0,100.0,0.0,0.0,0.0,104259584.0,22077440.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:49,1.0,0.0,86.0,13.0,0.0,0.0,104251392.0,22085632.0,142520320.0,1491009536.0,459.0,1119.0
05-11 16:35:50,0.0,0.0,100.0,0.0,0.0,0.0,104251392.0,22085632.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:51,0.0,0.0,100.0,0.0,0.0,0.0,104251392.0,22085632.0,142520320.0,1491009536.0,60.0,54.0
05-11 16:35:52,0.0,0.0,100.0,0.0,0.0,0.0,104251392.0,22085632.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:53,0.0,0.980,98.039,0.0,0.980,0.0,104251392.0,22085632.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:54,0.0,0.0,86.0,14.0,0.0,0.0,104243200.0,22093824.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:55,0.0,0.0,100.0,0.0,0.0,0.0,104243200.0,22093824.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:56,0.0,0.990,99.010,0.0,0.0,0.0,104243200.0,22093824.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:57,0.0,0.0,100.0,0.0,0.0,0.0,104243200.0,22093824.0,142520320.0,1491009536.0,60.0,54.0
05-11 16:35:58,0.990,0.0,99.010,0.0,0.0,0.0,104243200.0,22093824.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:35:59,0.0,0.990,70.297,28.713,0.0,0.0,104235008.0,22102016.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:36:00,0.0,0.0,100.0,0.0,0.0,0.0,104235008.0,22102016.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:36:01,0.0,0.0,100.0,0.0,0.0,0.0,104235008.0,22102016.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:36:02,0.0,1.0,99.0,0.0,0.0,0.0,104235008.0,22102016.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:36:03,0.0,0.0,100.0,0.0,0.0,0.0,104235008.0,22102016.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:36:04,0.0,0.0,92.857,7.143,0.0,0.0,104226816.0,22110208.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:36:05,0.0,0.990,99.010,0.0,0.0,0.0,104226816.0,22110208.0,142520320.0,1491009536.0,0.0,0.0
05-11 16:36:06,3.0,4.0,93.0,0.0,0.0,0.0,106475520.0,22110208.0,142520320.0,1488760832.0,5128.0,4135.0
05-11 16:36:07,38.384,39.394,21.212,0.0,1.010,0.0,104865792.0,22110208.0,142528512.0,1490362368.0,2670.0,1610.0
05-11 16:36:08,0.990,0.990,98.020,0.0,0.0,0.0,106119168.0,22110208.0,142520320.0,1489117184.0,132639.0,8872.0
05-11 16:36:09,0.0,1.010,78.788,18.182,2.020,0.0,106373120.0,22118400.0,142512128.0,1488863232.0,455704.0,30044.0
05-11 16:36:10,0.990,1.980,96.040,0.0,0.990,0.0,107376640.0,22118400.0,142524416.0,1487847424.0,454569.0,29970.0
05-11 16:36:11,1.010,1.010,96.970,0.0,1.010,0.0,107376640.0,22118400.0,142524416.0,1487847424.0,454540.0,29970.0
05-11 16:36:12,0.980,1.961,95.098,0.0,1.961,0.0,107376640.0,22118400.0,142524416.0,1487847424.0,455745.0,30024.0
05-11 16:36:13,1.010,1.010,96.970,0.0,1.010,0.0,108425216.0,22118400.0,142524416.0,1486798848.0,459043.0,30266.0
05-11 16:36:14,1.0,2.0,96.0,0.0,1.0,0.0,108425216.0,22118400.0,142524416.0,1486798848.0,461767.0,31607.0
05-11 16:36:15,0.0,1.0,91.0,6.0,2.0,0.0,108425216.0,22126592.0,142516224.0,1486798848.0,452320.0,29748.0
05-11 16:36:16,1.0,1.0,97.0,0.0,1.0,0.0,109178880.0,22126592.0,142524416.0,1486036992.0,463552.0,30562.0
05-11 16:36:17,1.0,2.0,96.0,0.0,1.0,0.0,109178880.0,22126592.0,142524416.0,1486036992.0,447840.0,29600.0
05-11 16:36:18,0.990,0.990,96.040,0.0,1.980,0.0,109178880.0,22126592.0,142524416.0,1486036992.0,452395.0,29896.0
05-11 16:36:19,1.010,2.020,95.960,0.0,1.010,0.0,111222784.0,22126592.0,142528512.0,1483988992.0,448104.0,32361.0
05-11 16:36:20,1.0,1.0,96.0,0.0,2.0,0.0,111222784.0,22126592.0,142528512.0,1483988992.0,465851.0,30784.0
05-11 16:36:21,1.0,2.0,93.0,3.0,1.0,0.0,111595520.0,22134784.0,142528512.0,1483608064.0,462252.0,31059.0
05-11 16:36:22,1.010,1.010,96.970,0.0,1.010,0.0,111071232.0,22134784.0,142528512.0,1484132352.0,457069.0,30258.0
05-11 16:36:23,1.0,2.0,96.0,0.0,1.0,0.0,112029696.0,22134784.0,142524416.0,1483177984.0,443404.0,29284.0
05-11 16:36:24,1.0,1.0,96.0,0.0,2.0,0.0,111915008.0,22134784.0,142524416.0,1483292672.0,451192.0,29748.0
05-11 16:36:25,0.990,1.980,96.040,0.0,0.990,0.0,111939584.0,22134784.0,142524416.0,1483268096.0,448977.0,29600.0
05-11 16:36:26,0.0,1.010,96.970,0.0,2.020,0.0,111902720.0,22134784.0,142524416.0,1483304960.0,453447.0,29896.0
05-11 16:36:27,1.0,2.0,93.0,3.0,1.0,0.0,112402432.0,22142976.0,142524416.0,1482797056.0,459070.0,30192.0
05-11 16:36:28,1.0,1.0,97.0,0.0,1.0,0.0,112402432.0,22142976.0,142524416.0,1482797056.0,460192.0,30340.0
05-11 16:36:29,0.990,1.980,95.050,0.0,1.980,0.0,112402432.0,22142976.0,142524416.0,1482797056.0,440041.0,29136.0
05-11 16:36:30,1.010,1.010,96.970,0.0,1.010,0.0,112402432.0,22142976.0,142524416.0,1482797056.0,453459.0,29896.0
05-11 16:36:31,0.0,2.0,96.0,0.0,2.0,0.0,112402432.0,22142976.0,142524416.0,1482797056.0,448955.0,29600.0
05-11 16:36:32,1.0,1.0,97.0,0.0,1.0,0.0,113418240.0,22142976.0,142524416.0,1481781248.0,443355.0,29230.0
05-11 16:36:33,0.990,1.980,91.089,4.950,0.990,0.0,113410048.0,22151168.0,142524416.0,1481781248.0,461308.0,30414.0
05-11 16:36:34,1.0,1.0,96.0,0.0,2.0,0.0,113410048.0,22151168.0,142524416.0,1481781248.0,444469.0,29304.0
05-11 16:36:35,1.010,1.010,96.970,0.0,1.010,0.0,113410048.0,22151168.0,142524416.0,1481781248.0,456806.0,30044.0
05-11 16:36:36,0.0,1.980,96.040,0.0,1.980,0.0,113410048.0,22151168.0,142524416.0,1481781248.0,446699.0,29452.0
05-11 16:36:37,1.010,1.010,96.970,0.0,1.010,0.0,113410048.0,22151168.0,142524416.0,1481781248.0,464722.0,30764.0
05-11 16:36:38,1.0,2.0,96.0,0.0,1.0,0.0,113410048.0,22151168.0,142524416.0,1481781248.0,464678.0,30636.0
05-11 16:36:39,0.990,0.990,93.069,2.970,1.980,0.0,114544640.0,22159360.0,142524416.0,1480638464.0,453905.0,30941.0
05-11 16:36:40,1.0,2.0,96.0,0.0,1.0,0.0,114544640.0,22159360.0,142524416.0,1480638464.0,448955.0,29674.0
05-11 16:36:41,1.0,1.0,97.0,0.0,1.0,0.0,114544640.0,22159360.0,142524416.0,1480638464.0,455684.0,30044.0
05-11 16:36:42,0.0,1.010,97.980,0.0,1.010,0.0,114544640.0,22159360.0,142524416.0,1480638464.0,457900.0,30118.0
05-11 16:36:43,0.990,1.980,95.050,0.0,1.980,0.0,115056640.0,22159360.0,142524416.0,1480126464.0,447823.0,29600.0
05-11 16:36:44,1.010,1.010,96.970,0.0,1.010,0.0,115056640.0,22159360.0,142524416.0,1480126464.0,454549.0,29970.0
05-11 16:36:45,1.0,1.0,94.0,3.0,1.0,0.0,115048448.0,22167552.0,142524416.0,1480126464.0,436618.0,28786.0
05-11 16:36:46,0.0,1.980,96.040,0.0,1.980,0.0,115048448.0,22167552.0,142524416.0,1480126464.0,452347.0,29822.0
05-11 16:36:47,1.010,1.010,96.970,0.0,1.010,0.0,115048448.0,22167552.0,142524416.0,1480126464.0,446721.0,29452.0
05-11 16:36:48,1.0,1.0,97.0,0.0,1.0,0.0,115552256.0,22167552.0,142528512.0,1479618560.0,460243.0,30320.0
05-11 16:36:49,1.0,2.0,96.0,0.0,1.0,0.0,115552256.0,22167552.0,142528512.0,1479618560.0,447845.0,29526.0
