1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         142.63          ---          ---      7.37700       148.26
Gets         142.61       853.61         2.07      6.62500       889.85
Waits          0.00          ---          ---      0.00000          ---
Totals       285.24       853.61         2.07      7.00100      1038.11


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       5.100         0.04
SET       5.200         0.29
SET       5.300         1.08
SET       5.400         2.41
SET       5.500         4.25
SET       5.600         7.07
SET       5.700        10.46
SET       5.800        14.56
SET       5.900        18.99
SET       6.000        23.31
SET       6.100        28.14
SET       6.200        32.26
SET       6.300        36.90
SET       6.400        41.11
SET       6.500        44.65
SET       6.600        48.55
SET       6.700        52.23
SET       6.800        55.83
SET       6.900        59.24
SET       7.000        62.23
SET       7.100        65.18
SET       7.200        67.71
SET       7.300        69.97
SET       7.400        72.01
SET       7.500        73.86
SET       7.600        75.11
SET       7.700        76.45
SET       7.800        77.69
SET       7.900        79.08
SET       8.000        80.37
SET       8.100        81.33
SET       8.200        82.34
SET       8.300        83.16
SET       8.400        84.00
SET       8.500        84.97
SET       8.600        85.73
SET       8.700        86.39
SET       8.800        87.10
SET       8.900        87.81
SET       9.000        88.35
SET       9.100        88.85
SET       9.200        89.43
SET       9.300        89.82
SET       9.400        90.39
SET       9.500        91.00
SET       9.600        91.52
SET       9.700        91.95
SET       9.800        92.42
SET       9.900        92.77
SET      10.000        94.54
SET      11.000        96.54
SET      12.000        97.52
SET      13.000        98.22
SET      14.000        98.60
SET      15.000        98.98
SET      16.000        99.26
SET      17.000        99.36
SET      18.000        99.47
SET      19.000        99.53
SET      20.000        99.54
SET      21.000        99.61
SET      22.000        99.65
SET      23.000        99.68
SET      24.000        99.70
SET      25.000        99.72
SET      26.000        99.73
SET      27.000        99.74
SET      28.000        99.75
SET      32.000        99.79
SET      38.000        99.80
SET      43.000        99.81
SET      44.000        99.82
SET      45.000        99.84
SET      49.000        99.85
SET      54.000        99.87
SET      55.000        99.88
SET      57.000        99.89
SET      71.000        99.91
SET      72.000        99.92
SET      74.000        99.93
SET      77.000        99.94
SET      87.000        99.95
SET      93.000        99.96
SET      95.000        99.98
SET     240.000        99.99
SET     280.000       100.00
---
GET       4.200         0.02
GET       4.300         0.18
GET       4.400         0.70
GET       4.500         2.15
GET       4.600         4.25
GET       4.700         7.40
GET       4.800        11.59
GET       4.900        16.31
GET       5.000        21.09
GET       5.100        25.86
GET       5.200        30.33
GET       5.300        34.64
GET       5.400        38.74
GET       5.500        42.87
GET       5.600        46.77
GET       5.700        50.65
GET       5.800        53.98
GET       5.900        57.01
GET       6.000        59.79
GET       6.100        62.21
GET       6.200        64.94
GET       6.300        67.37
GET       6.400        69.60
GET       6.500        71.52
GET       6.600        73.32
GET       6.700        74.85
GET       6.800        76.38
GET       6.900        77.92
GET       7.000        79.13
GET       7.100        80.26
GET       7.200        81.47
GET       7.300        82.42
GET       7.400        83.08
GET       7.500        84.13
GET       7.600        84.95
GET       7.700        85.64
GET       7.800        86.33
GET       7.900        87.05
GET       8.000        87.69
GET       8.100        88.27
GET       8.200        88.84
GET       8.300        89.47
GET       8.400        90.04
GET       8.500        90.72
GET       8.600        91.02
GET       8.700        91.39
GET       8.800        91.70
GET       8.900        92.08
GET       9.000        92.63
GET       9.100        92.89
GET       9.200        93.18
GET       9.300        93.48
GET       9.400        93.84
GET       9.500        94.15
GET       9.600        94.43
GET       9.700        94.59
GET       9.800        94.83
GET       9.900        95.02
GET      10.000        96.28
GET      11.000        97.67
GET      12.000        98.47
GET      13.000        98.81
GET      14.000        99.19
GET      15.000        99.35
GET      16.000        99.46
GET      17.000        99.59
GET      18.000        99.67
GET      19.000        99.68
GET      20.000        99.70
GET      21.000        99.72
GET      22.000        99.75
GET      23.000        99.77
GET      25.000        99.79
GET      28.000        99.80
GET      30.000        99.82
GET      31.000        99.84
GET      34.000        99.85
GET      36.000        99.87
GET      37.000        99.88
GET      40.000        99.91
GET      51.000        99.92
GET      63.000        99.93
GET      65.000        99.94
GET      92.000        99.95
GET     580.000        99.98
GET     660.000       100.00
---
