1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         213.17          ---          ---      5.06800       221.58
Gets         213.17      1914.08         4.43      4.29200      1994.31
Waits          0.00          ---          ---      0.00000          ---
Totals       426.34      1914.08         4.43      4.68000      2215.88


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.910         0.01
SET       1.000         0.05
SET       1.100         0.43
SET       1.200         1.82
SET       1.300         4.94
SET       1.400        10.12
SET       1.500        16.50
SET       1.600        23.02
SET       1.700        28.82
SET       1.800        34.82
SET       1.900        40.04
SET       2.000        44.78
SET       2.100        49.04
SET       2.200        52.22
SET       2.300        55.29
SET       2.400        57.50
SET       2.500        59.37
SET       2.600        60.93
SET       2.700        62.13
SET       2.800        63.18
SET       2.900        64.07
SET       3.000        64.76
SET       3.100        65.45
SET       3.200        65.92
SET       3.300        66.37
SET       3.400        66.73
SET       3.500        67.02
SET       3.600        67.34
SET       3.700        67.51
SET       3.800        67.75
SET       3.900        67.97
SET       4.000        68.13
SET       4.100        68.28
SET       4.200        68.39
SET       4.300        68.55
SET       4.400        68.69
SET       4.500        68.76
SET       4.600        68.87
SET       4.700        68.97
SET       4.800        69.08
SET       4.900        69.18
SET       5.000        69.32
SET       5.100        69.42
SET       5.200        69.50
SET       5.300        69.58
SET       5.400        69.66
SET       5.500        69.71
SET       5.600        69.81
SET       5.700        69.88
SET       5.800        69.99
SET       5.900        70.06
SET       6.000        70.15
SET       6.100        70.18
SET       6.200        70.23
SET       6.300        70.30
SET       6.400        70.37
SET       6.500        70.45
SET       6.600        70.51
SET       6.700        70.57
SET       6.800        70.67
SET       6.900        70.83
SET       7.000        70.89
SET       7.100        70.93
SET       7.200        71.00
SET       7.300        71.09
SET       7.400        71.14
SET       7.500        71.23
SET       7.600        71.32
SET       7.700        71.45
SET       7.800        71.70
SET       7.900        72.02
SET       8.000        72.51
SET       8.100        73.06
SET       8.200        73.98
SET       8.300        75.08
SET       8.400        76.59
SET       8.500        77.99
SET       8.600        79.51
SET       8.700        81.27
SET       8.800        82.86
SET       8.900        84.47
SET       9.000        85.87
SET       9.100        87.39
SET       9.200        88.71
SET       9.300        89.82
SET       9.400        90.81
SET       9.500        91.71
SET       9.600        92.60
SET       9.700        93.26
SET       9.800        93.90
SET       9.900        94.43
SET      10.000        96.29
SET      11.000        97.59
SET      12.000        98.08
SET      13.000        98.41
SET      14.000        98.62
SET      15.000        98.78
SET      16.000        98.93
SET      17.000        99.04
SET      18.000        99.23
SET      19.000        99.39
SET      20.000        99.48
SET      21.000        99.51
SET      22.000        99.56
SET      23.000        99.60
SET      25.000        99.62
SET      26.000        99.63
SET      27.000        99.64
SET      28.000        99.67
SET      29.000        99.68
SET      30.000        99.69
SET      31.000        99.70
SET      32.000        99.72
SET      33.000        99.74
SET      34.000        99.75
SET      35.000        99.77
SET      37.000        99.78
SET      38.000        99.79
SET      39.000        99.83
SET      45.000        99.84
SET      46.000        99.84
SET      62.000        99.86
SET      63.000        99.88
SET      67.000        99.88
SET      76.000        99.89
SET      77.000        99.90
SET      80.000        99.91
SET     100.000        99.92
SET     120.000        99.95
SET     150.000        99.95
SET     640.000        99.96
SET     950.000        99.97
SET    1100.000        99.98
SET    2600.000       100.00
---
GET       0.720         0.01
GET       0.750         0.02
GET       0.770         0.02
GET       0.780         0.04
GET       0.790         0.05
GET       0.810         0.06
GET       0.820         0.07
GET       0.830         0.13
GET       0.840         0.15
GET       0.850         0.17
GET       0.860         0.19
GET       0.870         0.19
GET       0.880         0.26
GET       0.890         0.31
GET       0.900         0.40
GET       0.910         0.49
GET       0.920         0.58
GET       0.930         0.66
GET       0.940         0.73
GET       0.950         0.79
GET       0.960         0.94
GET       0.970         1.04
GET       0.980         1.22
GET       0.990         1.35
GET       1.000         2.47
GET       1.100         5.93
GET       1.200        10.55
GET       1.300        16.30
GET       1.400        22.30
GET       1.500        28.39
GET       1.600        34.03
GET       1.700        39.11
GET       1.800        43.86
GET       1.900        48.04
GET       2.000        51.73
GET       2.100        55.17
GET       2.200        57.91
GET       2.300        59.80
GET       2.400        61.64
GET       2.500        63.13
GET       2.600        64.31
GET       2.700        65.16
GET       2.800        66.04
GET       2.900        66.80
GET       3.000        67.43
GET       3.100        67.93
GET       3.200        68.27
GET       3.300        68.61
GET       3.400        68.88
GET       3.500        69.15
GET       3.600        69.41
GET       3.700        69.67
GET       3.800        69.86
GET       3.900        70.06
GET       4.000        70.23
GET       4.100        70.38
GET       4.200        70.52
GET       4.300        70.66
GET       4.400        70.77
GET       4.500        70.88
GET       4.600        70.98
GET       4.700        71.13
GET       4.800        71.22
GET       4.900        71.32
GET       5.000        71.40
GET       5.100        71.46
GET       5.200        71.51
GET       5.300        71.60
GET       5.400        71.70
GET       5.500        71.81
GET       5.600        71.85
GET       5.700        71.92
GET       5.800        71.99
GET       5.900        72.07
GET       6.000        72.16
GET       6.100        72.22
GET       6.200        72.26
GET       6.300        72.30
GET       6.400        72.37
GET       6.500        72.41
GET       6.600        72.52
GET       6.700        72.59
GET       6.800        72.65
GET       6.900        72.75
GET       7.000        72.82
GET       7.100        72.93
GET       7.200        73.07
GET       7.300        73.20
GET       7.400        73.36
GET       7.500        73.61
GET       7.600        73.86
GET       7.700        74.09
GET       7.800        74.51
GET       7.900        75.20
GET       8.000        75.99
GET       8.100        76.99
GET       8.200        78.11
GET       8.300        79.54
GET       8.400        80.98
GET       8.500        82.40
GET       8.600        83.92
GET       8.700        85.38
GET       8.800        86.67
GET       8.900        87.84
GET       9.000        88.95
GET       9.100        90.17
GET       9.200        91.13
GET       9.300        91.92
GET       9.400        92.58
GET       9.500        93.15
GET       9.600        93.72
GET       9.700        94.21
GET       9.800        94.78
GET       9.900        95.24
GET      10.000        96.82
GET      11.000        97.90
GET      12.000        98.42
GET      13.000        98.65
GET      14.000        98.81
GET      15.000        98.93
GET      16.000        99.02
GET      17.000        99.05
GET      18.000        99.15
GET      19.000        99.30
GET      20.000        99.37
GET      21.000        99.39
GET      22.000        99.44
GET      23.000        99.47
GET      24.000        99.49
GET      25.000        99.52
GET      26.000        99.53
GET      27.000        99.54
GET      28.000        99.58
GET      29.000        99.62
GET      31.000        99.64
GET      32.000        99.67
GET      33.000        99.68
