1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         314.27          ---          ---      3.57200       326.67
Gets         314.24       312.39         1.85      2.77500       328.23
Waits          0.00          ---          ---      0.00000          ---
Totals       628.51       312.39         1.85      3.17400       654.90


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.03
SET       2.200         0.72
SET       2.300         4.17
SET       2.400        11.40
SET       2.500        21.81
SET       2.600        32.97
SET       2.700        44.03
SET       2.800        53.16
SET       2.900        59.98
SET       3.000        65.42
SET       3.100        69.73
SET       3.200        73.00
SET       3.300        75.80
SET       3.400        77.77
SET       3.500        79.60
SET       3.600        81.09
SET       3.700        82.10
SET       3.800        82.95
SET       3.900        83.72
SET       4.000        84.52
SET       4.100        84.97
SET       4.200        85.57
SET       4.300        86.02
SET       4.400        86.45
SET       4.500        86.80
SET       4.600        87.12
SET       4.700        87.45
SET       4.800        87.73
SET       4.900        87.94
SET       5.000        88.24
SET       5.100        88.59
SET       5.200        88.92
SET       5.300        89.19
SET       5.400        89.47
SET       5.500        89.73
SET       5.600        89.90
SET       5.700        90.13
SET       5.800        90.30
SET       5.900        90.41
SET       6.000        90.50
SET       6.100        90.64
SET       6.200        90.76
SET       6.300        90.90
SET       6.400        91.02
SET       6.500        91.13
SET       6.600        91.18
SET       6.700        91.28
SET       6.800        91.36
SET       6.900        91.46
SET       7.000        91.52
SET       7.100        91.61
SET       7.200        91.68
SET       7.300        91.73
SET       7.400        91.83
SET       7.500        91.88
SET       7.600        92.00
SET       7.700        92.13
SET       7.800        92.27
SET       7.900        92.46
SET       8.000        92.68
SET       8.100        92.83
SET       8.200        93.07
SET       8.300        93.38
SET       8.400        93.64
SET       8.500        93.84
SET       8.600        94.03
SET       8.700        94.30
SET       8.800        94.54
SET       8.900        94.80
SET       9.000        95.10
SET       9.100        95.39
SET       9.200        95.72
SET       9.300        96.04
SET       9.400        96.40
SET       9.500        96.78
SET       9.600        97.18
SET       9.700        97.57
SET       9.800        97.91
SET       9.900        98.20
SET      10.000        99.12
SET      11.000        99.48
SET      12.000        99.67
SET      13.000        99.76
SET      14.000        99.81
SET      15.000        99.84
SET      16.000        99.85
SET      17.000        99.86
SET      18.000        99.86
SET      19.000        99.87
SET      20.000        99.88
SET      21.000        99.88
SET      23.000        99.89
SET      27.000        99.90
SET      29.000        99.91
SET      32.000        99.92
SET      34.000        99.92
SET      35.000        99.93
SET      38.000        99.93
SET      39.000        99.94
SET      43.000        99.95
SET      50.000        99.95
SET      53.000        99.96
SET      55.000        99.96
SET      59.000        99.97
SET      62.000        99.97
SET      64.000        99.98
SET      66.000        99.98
SET      76.000        99.99
SET     120.000       100.00
---
GET       0.600         0.01
GET       0.630         0.02
GET       0.640         0.03
GET       0.650         0.03
GET       0.670         0.04
GET       0.690         0.07
GET       0.700         0.12
GET       0.710         0.15
GET       0.720         0.18
GET       0.730         0.27
GET       0.740         0.36
GET       0.750         0.41
GET       0.760         0.54
GET       0.770         0.63
GET       0.780         0.76
GET       0.790         0.89
GET       0.800         1.05
GET       0.810         1.27
GET       0.820         1.47
GET       0.830         1.65
GET       0.840         1.93
GET       0.850         2.16
GET       0.860         2.44
GET       0.870         2.76
