1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         363.86          ---          ---      3.05800       378.22
Gets         363.83      1083.61         7.88      2.42100      1131.46
Waits          0.00          ---          ---      0.00000          ---
Totals       727.69      1083.61         7.88      2.73900      1509.68


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.07
SET       2.100         1.27
SET       2.200         6.69
SET       2.300        16.95
SET       2.400        29.43
SET       2.500        41.86
SET       2.600        51.94
SET       2.700        59.70
SET       2.800        65.67
SET       2.900        69.93
SET       3.000        73.23
SET       3.100        76.14
SET       3.200        78.41
SET       3.300        80.24
SET       3.400        81.94
SET       3.500        83.24
SET       3.600        84.49
SET       3.700        85.54
SET       3.800        86.53
SET       3.900        87.41
SET       4.000        88.29
SET       4.100        89.11
SET       4.200        89.81
SET       4.300        90.57
SET       4.400        91.08
SET       4.500        91.64
SET       4.600        92.24
SET       4.700        92.76
SET       4.800        93.27
SET       4.900        93.67
SET       5.000        94.09
SET       5.100        94.52
SET       5.200        94.89
SET       5.300        95.24
SET       5.400        95.56
SET       5.500        95.81
SET       5.600        96.03
SET       5.700        96.29
SET       5.800        96.49
SET       5.900        96.68
SET       6.000        96.84
SET       6.100        96.99
SET       6.200        97.17
SET       6.300        97.26
SET       6.400        97.43
SET       6.500        97.55
SET       6.600        97.64
SET       6.700        97.73
SET       6.800        97.83
SET       6.900        97.95
SET       7.000        98.04
SET       7.100        98.11
SET       7.200        98.16
SET       7.300        98.24
SET       7.400        98.28
SET       7.500        98.36
SET       7.600        98.48
SET       7.700        98.57
SET       7.800        98.61
SET       7.900        98.66
SET       8.000        98.73
SET       8.100        98.79
SET       8.200        98.82
SET       8.300        98.89
SET       8.400        98.94
SET       8.500        99.00
SET       8.600        99.06
SET       8.700        99.08
SET       8.800        99.12
SET       8.900        99.17
SET       9.000        99.22
SET       9.100        99.27
SET       9.200        99.34
SET       9.300        99.36
SET       9.400        99.39
SET       9.500        99.44
SET       9.600        99.48
SET       9.700        99.49
SET       9.800        99.51
SET       9.900        99.56
SET      10.000        99.67
SET      11.000        99.79
SET      12.000        99.85
SET      13.000        99.87
SET      14.000        99.87
SET      15.000        99.89
SET      16.000        99.90
SET      17.000        99.90
SET      18.000        99.93
SET      19.000        99.93
SET      24.000        99.94
SET      26.000        99.95
SET      27.000        99.95
SET      32.000        99.96
SET      33.000        99.97
SET      51.000        99.98
SET      54.000        99.98
SET      64.000        99.99
SET      68.000        99.99
SET      69.000       100.00
---
GET       0.530         0.00
GET       0.540         0.01
GET       0.590         0.02
GET       0.600         0.03
GET       0.610         0.05
GET       0.620         0.09
GET       0.630         0.11
GET       0.640         0.16
GET       0.650         0.18
GET       0.660         0.25
GET       0.670         0.29
GET       0.680         0.37
GET       0.690         0.40
GET       0.700         0.49
GET       0.710         0.60
GET       0.720         0.69
GET       0.730         0.80
GET       0.740         0.92
GET       0.750         1.06
GET       0.760         1.20
GET       0.770         1.38
GET       0.780         1.65
GET       0.790         1.87
GET       0.800         2.10
GET       0.810         2.32
GET       0.820         2.59
GET       0.830         2.84
GET       0.840         3.14
GET       0.850         3.49
GET       0.860         3.77
GET       0.870         4.06
GET       0.880         4.43
GET       0.890         4.81
GET       0.900         5.10
GET       0.910         5.44
GET       0.920         5.76
GET       0.930         6.18
GET       0.940         6.58
GET       0.950         7.10
GET       0.960         7.52
GET       0.970         7.94
GET       0.980         8.26
GET       0.990         8.70
GET       1.000        10.95
GET       1.100        14.32
GET       1.200        16.90
GET       1.300        18.94
GET       1.400        20.38
GET       1.500        21.42
GET       1.600        22.30
GET       1.700        23.17
GET       1.800        24.52
GET       1.900        27.68
GET       2.000        32.50
GET       2.100        38.99
GET       2.200        47.23
GET       2.300        55.68
GET       2.400        63.41
GET       2.500        69.69
GET       2.600        74.27
GET       2.700        78.03
