1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         284.71          ---          ---      3.92700       295.94
Gets         284.68       848.99         5.05      3.08100       886.47
Waits          0.00          ---          ---      0.00000          ---
Totals       569.39       848.99         5.05      3.50400      1182.41


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.12
SET       2.200         1.35
SET       2.300         5.67
SET       2.400        14.18
SET       2.500        25.11
SET       2.600        36.30
SET       2.700        45.83
SET       2.800        53.88
SET       2.900        59.88
SET       3.000        64.01
SET       3.100        67.33
SET       3.200        69.82
SET       3.300        71.90
SET       3.400        73.48
SET       3.500        74.89
SET       3.600        75.89
SET       3.700        76.72
SET       3.800        77.57
SET       3.900        78.28
SET       4.000        79.03
SET       4.100        79.68
SET       4.200        80.14
SET       4.300        80.58
SET       4.400        81.09
SET       4.500        81.54
SET       4.600        81.92
SET       4.700        82.22
SET       4.800        82.52
SET       4.900        82.85
SET       5.000        83.23
SET       5.100        83.45
SET       5.200        83.75
SET       5.300        83.94
SET       5.400        84.21
SET       5.500        84.41
SET       5.600        84.60
SET       5.700        84.76
SET       5.800        84.93
SET       5.900        85.04
SET       6.000        85.18
SET       6.100        85.29
SET       6.200        85.41
SET       6.300        85.50
SET       6.400        85.59
SET       6.500        85.66
SET       6.600        85.73
SET       6.700        85.80
SET       6.800        85.89
SET       6.900        85.96
SET       7.000        86.05
SET       7.100        86.13
SET       7.200        86.20
SET       7.300        86.27
SET       7.400        86.37
SET       7.500        86.45
SET       7.600        86.58
SET       7.700        86.81
SET       7.800        87.09
SET       7.900        87.36
SET       8.000        87.76
SET       8.100        88.10
SET       8.200        88.52
SET       8.300        88.95
SET       8.400        89.30
SET       8.500        89.75
SET       8.600        90.16
SET       8.700        90.58
SET       8.800        91.08
SET       8.900        91.57
SET       9.000        92.10
SET       9.100        92.61
SET       9.200        93.22
SET       9.300        93.78
SET       9.400        94.39
SET       9.500        95.12
SET       9.600        95.83
SET       9.700        96.48
SET       9.800        97.01
SET       9.900        97.47
SET      10.000        98.54
SET      11.000        99.24
SET      12.000        99.47
SET      13.000        99.63
SET      14.000        99.68
SET      15.000        99.70
SET      16.000        99.72
SET      17.000        99.73
SET      18.000        99.75
SET      19.000        99.78
SET      20.000        99.79
SET      21.000        99.80
SET      22.000        99.81
SET      23.000        99.81
SET      28.000        99.82
SET      29.000        99.82
SET      30.000        99.84
SET      33.000        99.85
SET      34.000        99.85
SET      35.000        99.87
SET      36.000        99.88
SET      38.000        99.89
SET      42.000        99.89
SET      44.000        99.90
SET      45.000        99.91
SET      47.000        99.91
SET      52.000        99.92
SET      57.000        99.92
SET      60.000        99.94
SET      62.000        99.94
SET      63.000        99.95
SET      84.000        99.96
SET      85.000        99.98
SET     100.000        99.99
SET     130.000        99.99
SET     140.000       100.00
---
GET       0.650         0.01
GET       0.680         0.02
GET       0.700         0.03
GET       0.710         0.04
GET       0.720         0.05
GET       0.730         0.06
GET       0.740         0.11
GET       0.750         0.15
GET       0.760         0.20
GET       0.770         0.26
