1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         337.43          ---          ---      3.28200       350.74
Gets         337.43      2009.79        14.78      2.62600      2095.27
Waits          0.00          ---          ---      0.00000          ---
Totals       674.86      2009.79        14.78      2.95400      2446.01


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.05
SET       2.200         0.61
SET       2.300         3.49
SET       2.400        10.85
SET       2.500        22.11
SET       2.600        34.83
SET       2.700        45.53
SET       2.800        54.22
SET       2.900        60.68
SET       3.000        65.58
SET       3.100        69.41
SET       3.200        72.38
SET       3.300        74.63
SET       3.400        76.62
SET       3.500        78.39
SET       3.600        80.03
SET       3.700        81.39
SET       3.800        82.62
SET       3.900        83.73
SET       4.000        84.67
SET       4.100        85.61
SET       4.200        86.61
SET       4.300        87.54
SET       4.400        88.34
SET       4.500        89.18
SET       4.600        89.91
SET       4.700        90.66
SET       4.800        91.31
SET       4.900        91.97
SET       5.000        92.55
SET       5.100        93.18
SET       5.200        93.70
SET       5.300        94.15
SET       5.400        94.48
SET       5.500        94.83
SET       5.600        95.12
SET       5.700        95.42
SET       5.800        95.64
SET       5.900        95.82
SET       6.000        95.98
SET       6.100        96.17
SET       6.200        96.32
SET       6.300        96.46
SET       6.400        96.65
SET       6.500        96.79
SET       6.600        96.95
SET       6.700        97.06
SET       6.800        97.17
SET       6.900        97.29
SET       7.000        97.42
SET       7.100        97.53
SET       7.200        97.63
SET       7.300        97.73
SET       7.400        97.81
SET       7.500        97.89
SET       7.600        97.94
SET       7.700        98.02
SET       7.800        98.10
SET       7.900        98.15
SET       8.000        98.22
SET       8.100        98.29
SET       8.200        98.37
SET       8.300        98.41
SET       8.400        98.44
SET       8.500        98.53
SET       8.600        98.60
SET       8.700        98.65
SET       8.800        98.72
SET       8.900        98.75
SET       9.000        98.80
SET       9.100        98.87
SET       9.200        98.96
SET       9.300        99.02
SET       9.400        99.08
SET       9.500        99.15
SET       9.600        99.21
SET       9.700        99.26
SET       9.800        99.30
SET       9.900        99.37
SET      10.000        99.54
SET      11.000        99.70
SET      12.000        99.80
SET      13.000        99.87
SET      14.000        99.89
SET      15.000        99.90
SET      18.000        99.92
SET      19.000        99.94
SET      20.000        99.95
SET      23.000        99.96
SET      25.000        99.96
SET      28.000        99.97
SET      29.000        99.97
SET      30.000        99.98
SET      41.000        99.98
SET      55.000        99.99
SET      61.000        99.99
SET      82.000       100.00
SET     130.000       100.00
---
GET       0.740         0.00
GET       0.760         0.01
GET       0.770         0.01
GET       0.780         0.04
GET       0.790         0.05
GET       0.800         0.07
GET       0.810         0.09
GET       0.820         0.14
GET       0.830         0.16
GET       0.840         0.22
GET       0.850         0.28
GET       0.860         0.36
GET       0.870         0.41
GET       0.880         0.50
GET       0.890         0.57
GET       0.900         0.74
GET       0.910         0.91
GET       0.920         1.06
GET       0.930         1.19
GET       0.940         1.35
GET       0.950         1.52
GET       0.960         1.73
GET       0.970         2.01
GET       0.980         2.33
GET       0.990         2.59
GET       1.000         4.47
GET       1.100         8.84
GET       1.200        13.75
GET       1.300        18.13
GET       1.400        21.52
GET       1.500        24.19
GET       1.600        25.70
GET       1.700        27.06
GET       1.800        28.17
GET       1.900        29.14
GET       2.000        30.51
GET       2.100        33.24
GET       2.200        37.27
GET       2.300        42.92
GET       2.400        49.42
GET       2.500        56.71
GET       2.600        63.48
GET       2.700        69.16
GET       2.800        73.65
GET       2.900        76.92
GET       3.000        79.56
GET       3.100        81.38
GET       3.200        82.89
GET       3.300        84.13
GET       3.400        85.22
GET       3.500        86.28
GET       3.600        87.16
GET       3.700        88.11
GET       3.800        88.96
GET       3.900        89.59
GET       4.000        90.28
GET       4.100        90.91
GET       4.200        91.45
GET       4.300        92.14
GET       4.400        92.64
GET       4.500        93.21
GET       4.600        93.63
GET       4.700        93.99
GET       4.800        94.40
GET       4.900        94.77
GET       5.000        95.05
GET       5.100        95.34
GET       5.200        95.64
GET       5.300        95.86
GET       5.400        96.11
GET       5.500        96.32
GET       5.600        96.53
GET       5.700        96.69
GET       5.800        96.84
GET       5.900        97.03
GET       6.000        97.18
GET       6.100        97.25
GET       6.200        97.35
GET       6.300        97.49
GET       6.400        97.62
GET       6.500        97.73
GET       6.600        97.83
GET       6.700        97.89
GET       6.800        97.98
GET       6.900        98.07
GET       7.000        98.13
GET       7.100        98.20
GET       7.200        98.24
GET       7.300        98.31
GET       7.400        98.36
GET       7.500        98.40
GET       7.600        98.46
GET       7.700        98.54
GET       7.800        98.61
GET       7.900        98.67
GET       8.000        98.73
GET       8.100        98.80
GET       8.200        98.85
GET       8.300        98.92
GET       8.400        98.96
GET       8.500        99.02
GET       8.600        99.06
GET       8.700        99.10
GET       8.800        99.13
GET       8.900        99.18
GET       9.000        99.19
GET       9.100        99.24
GET       9.200        99.29
GET       9.300        99.33
GET       9.400        99.39
GET       9.500        99.44
GET       9.600        99.48
GET       9.700        99.52
GET       9.800        99.53
GET       9.900        99.57
GET      10.000        99.71
GET      11.000        99.80
GET      12.000        99.86
GET      13.000        99.90
GET      14.000        99.92
GET      15.000        99.93
GET      16.000        99.95
GET      17.000        99.96
GET      18.000        99.97
GET      28.000        99.98
GET      36.000        99.98
GET      80.000        99.99
GET     130.000        99.99
GET     310.000       100.00
---
