1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         290.47          ---          ---      4.04400       301.92
Gets         290.47       288.62         1.85      2.82500       303.25
Waits          0.00          ---          ---      0.00000          ---
Totals       580.93       288.62         1.85      3.43400       605.18


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.990         0.01
SET       1.000         0.05
SET       1.100         0.54
SET       1.200         2.52
SET       1.300         6.84
SET       1.400        13.49
SET       1.500        20.99
SET       1.600        28.20
SET       1.700        34.81
SET       1.800        40.96
SET       1.900        45.78
SET       2.000        50.49
SET       2.100        54.52
SET       2.200        57.69
SET       2.300        60.24
SET       2.400        62.21
SET       2.500        63.68
SET       2.600        64.97
SET       2.700        66.08
SET       2.800        66.88
SET       2.900        67.72
SET       3.000        68.32
SET       3.100        68.77
SET       3.200        69.15
SET       3.300        69.53
SET       3.400        69.79
SET       3.500        70.04
SET       3.600        70.25
SET       3.700        70.53
SET       3.800        70.68
SET       3.900        70.87
SET       4.000        71.01
SET       4.100        71.12
SET       4.200        71.24
SET       4.300        71.37
SET       4.400        71.50
SET       4.500        71.61
SET       4.600        71.69
SET       4.700        71.78
SET       4.800        71.89
SET       4.900        71.96
SET       5.000        72.04
SET       5.100        72.08
SET       5.200        72.15
SET       5.300        72.20
SET       5.400        72.28
SET       5.500        72.35
SET       5.600        72.41
SET       5.700        72.48
SET       5.800        72.52
SET       5.900        72.57
SET       6.000        72.59
SET       6.100        72.65
SET       6.200        72.70
SET       6.300        72.74
SET       6.400        72.77
SET       6.500        72.81
SET       6.600        72.85
SET       6.700        72.87
SET       6.800        72.91
SET       6.900        72.97
SET       7.000        73.03
SET       7.100        73.06
SET       7.200        73.11
SET       7.300        73.17
SET       7.400        73.25
SET       7.500        73.32
SET       7.600        73.39
SET       7.700        73.47
SET       7.800        73.64
SET       7.900        73.87
SET       8.000        74.23
SET       8.100        74.77
SET       8.200        75.73
SET       8.300        76.81
SET       8.400        78.58
SET       8.500        80.20
SET       8.600        81.81
SET       8.700        83.57
SET       8.800        85.24
SET       8.900        87.03
SET       9.000        88.57
SET       9.100        89.86
SET       9.200        91.22
SET       9.300        92.20
SET       9.400        93.10
SET       9.500        93.92
SET       9.600        94.48
SET       9.700        95.16
SET       9.800        95.65
SET       9.900        96.11
SET      10.000        97.40
SET      11.000        98.55
SET      12.000        99.02
SET      13.000        99.16
SET      14.000        99.28
SET      15.000        99.39
SET      16.000        99.45
SET      17.000        99.49
SET      18.000        99.56
SET      19.000        99.63
SET      20.000        99.67
SET      21.000        99.68
SET      22.000        99.71
SET      23.000        99.73
SET      24.000        99.75
SET      25.000        99.76
SET      27.000        99.77
SET      28.000        99.79
SET      29.000        99.81
SET      30.000        99.82
SET      31.000        99.83
SET      34.000        99.83
SET      41.000        99.84
SET      43.000        99.85
SET      44.000        99.86
SET      49.000        99.87
SET      50.000        99.88
SET      51.000        99.89
SET      52.000        99.91
SET      53.000        99.91
SET      54.000        99.92
SET      55.000        99.93
SET      56.000        99.94
SET      57.000        99.94
SET      58.000        99.95
SET      59.000        99.95
SET      61.000        99.96
SET      65.000        99.97
SET      75.000        99.98
SET     110.000        99.98
SET     160.000        99.99
SET     170.000       100.00
---
GET       0.380         0.01
GET       0.390         0.01
GET       0.420         0.02
GET       0.430         0.03
GET       0.440         0.04
GET       0.450         0.05
GET       0.460         0.06
GET       0.470         0.07
GET       0.480         0.10
GET       0.490         0.16
GET       0.500         0.24
GET       0.510         0.34
GET       0.520         0.42
GET       0.530         0.59
GET       0.540         0.79
GET       0.550         0.99
GET       0.560         1.29
GET       0.570         1.66
GET       0.580         1.98
GET       0.590         2.42
GET       0.600         2.79
GET       0.610         3.21
GET       0.620         3.76
GET       0.630         4.18
GET       0.640         4.76
GET       0.650         5.36
GET       0.660         5.90
GET       0.670         6.56
GET       0.680         7.25
GET       0.690         7.97
GET       0.700         8.60
GET       0.710         9.27
GET       0.720        10.02
GET       0.730        10.85
GET       0.740        11.55
GET       0.750        12.40
GET       0.760        13.26
GET       0.770        14.09
GET       0.780        15.06
GET       0.790        15.92
GET       0.800        16.88
GET       0.810        17.84
GET       0.820        18.83
GET       0.830        19.82
GET       0.840        20.72
GET       0.850        21.73
GET       0.860        22.79
GET       0.870        23.78
GET       0.880        24.67
GET       0.890        25.75
GET       0.900        26.63
GET       0.910        27.46
GET       0.920        28.56
GET       0.930        29.55
GET       0.940        30.44
GET       0.950        31.34
GET       0.960        32.39
GET       0.970        33.41
GET       0.980        34.21
GET       0.990        35.11
GET       1.000        39.86
GET       1.100        47.25
GET       1.200        53.38
GET       1.300        57.84
GET       1.400        61.60
GET       1.500        64.56
GET       1.600        66.96
GET       1.700        68.92
GET       1.800        70.39
GET       1.900        71.39
GET       2.000        72.41
GET       2.100        73.10
GET       2.200        73.69
GET       2.300        74.15
GET       2.400        74.47
GET       2.500        74.76
GET       2.600        75.05
GET       2.700        75.28
GET       2.800        75.47
GET       2.900        75.67
GET       3.000        75.77
GET       3.100        75.88
GET       3.200        75.97
GET       3.300        76.07
GET       3.400        76.20
GET       3.500        76.25
GET       3.600        76.32
GET       3.700        76.40
GET       3.800        76.47
GET       3.900        76.56
GET       4.000        76.64
GET       4.100        76.72
GET       4.200        76.78
GET       4.300        76.88
GET       4.400        76.94
GET       4.500        77.02
GET       4.600        77.09
GET       4.700        77.14
GET       4.800        77.19
GET       4.900        77.24
GET       5.000        77.30
GET       5.100        77.33
GET       5.200        77.37
GET       5.300        77.44
GET       5.400        77.48
GET       5.500        77.51
GET       5.600        77.59
GET       5.700        77.62
GET       5.800        77.65
GET       5.900        77.71
GET       6.000        77.75
GET       6.100        77.80
GET       6.200        77.85
GET       6.300        77.88
GET       6.400        77.95
GET       6.500        78.03
GET       6.600        78.16
GET       6.700        78.33
GET       6.800        78.47
GET       6.900        78.70
GET       7.000        79.01
GET       7.100        79.48
GET       7.200        79.96
GET       7.300        80.57
GET       7.400        81.32
GET       7.500        82.23
GET       7.600        83.59
GET       7.700        85.19
GET       7.800        86.86
GET       7.900        88.42
GET       8.000        90.02
GET       8.100        91.44
GET       8.200        92.57
GET       8.300        93.68
GET       8.400        94.50
GET       8.500        95.20
GET       8.600        95.86
GET       8.700        96.42
GET       8.800        96.92
GET       8.900        97.34
GET       9.000        97.65
GET       9.100        97.97
GET       9.200        98.18
GET       9.300        98.38
GET       9.400        98.56
GET       9.500        98.65
GET       9.600        98.73
GET       9.700        98.81
GET       9.800        98.86
GET       9.900        98.91
GET      10.000        99.13
GET      11.000        99.40
GET      12.000        99.50
GET      13.000        99.57
GET      14.000        99.62
GET      15.000        99.67
GET      16.000        99.70
GET      17.000        99.72
GET      18.000        99.76
GET      19.000        99.78
GET      20.000        99.78
GET      21.000        99.79
GET      22.000        99.80
GET      23.000        99.83
GET      24.000        99.85
GET      25.000        99.86
GET      27.000        99.87
GET      28.000        99.87
GET      29.000        99.89
GET      30.000        99.90
GET      31.000        99.91
GET      33.000        99.92
GET      40.000        99.93
GET      43.000        99.93
GET      47.000        99.94
GET      48.000        99.94
GET      50.000        99.95
GET      53.000        99.97
GET      61.000        99.99
GET     110.000        99.99
GET     150.000       100.00
---
