1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         346.78          ---          ---      3.32700       360.46
Gets         346.78       332.20        14.58      2.42500       349.32
Waits          0.00          ---          ---      0.00000          ---
Totals       693.56       332.20        14.58      2.87600       709.78


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.01
SET       2.200         0.28
SET       2.300         2.63
SET       2.400         8.67
SET       2.500        19.04
SET       2.600        30.56
SET       2.700        41.12
SET       2.800        49.96
SET       2.900        57.12
SET       3.000        62.60
SET       3.100        67.11
SET       3.200        70.98
SET       3.300        73.96
SET       3.400        76.43
SET       3.500        78.60
SET       3.600        80.56
SET       3.700        82.18
SET       3.800        83.59
SET       3.900        84.85
SET       4.000        86.00
SET       4.100        87.01
SET       4.200        87.90
SET       4.300        88.81
SET       4.400        89.49
SET       4.500        90.29
SET       4.600        91.00
SET       4.700        91.63
SET       4.800        92.27
SET       4.900        92.79
SET       5.000        93.27
SET       5.100        93.78
SET       5.200        94.21
SET       5.300        94.58
SET       5.400        94.94
SET       5.500        95.22
SET       5.600        95.54
SET       5.700        95.76
SET       5.800        96.04
SET       5.900        96.31
SET       6.000        96.51
SET       6.100        96.72
SET       6.200        96.90
SET       6.300        97.07
SET       6.400        97.19
SET       6.500        97.29
SET       6.600        97.37
SET       6.700        97.46
SET       6.800        97.57
SET       6.900        97.63
SET       7.000        97.74
SET       7.100        97.86
SET       7.200        97.91
SET       7.300        98.02
SET       7.400        98.09
SET       7.500        98.18
SET       7.600        98.24
SET       7.700        98.29
SET       7.800        98.33
SET       7.900        98.38
SET       8.000        98.43
SET       8.100        98.50
SET       8.200        98.56
SET       8.300        98.62
SET       8.400        98.66
SET       8.500        98.73
SET       8.600        98.77
SET       8.700        98.82
SET       8.800        98.87
SET       8.900        98.91
SET       9.000        98.98
SET       9.100        99.01
SET       9.200        99.05
SET       9.300        99.07
SET       9.400        99.11
SET       9.500        99.19
SET       9.600        99.25
SET       9.700        99.29
SET       9.800        99.33
SET       9.900        99.35
SET      10.000        99.59
SET      11.000        99.75
SET      12.000        99.80
SET      13.000        99.85
SET      14.000        99.88
SET      15.000        99.88
SET      16.000        99.89
SET      17.000        99.90
SET      18.000        99.91
SET      20.000        99.91
SET      21.000        99.92
SET      22.000        99.93
SET      23.000        99.94
SET      24.000        99.95
SET      25.000        99.95
SET      26.000        99.96
SET      27.000        99.96
SET      29.000        99.97
SET      43.000        99.98
SET     260.000        99.99
SET     350.000       100.00
---
GET       0.580         0.00
GET       0.600         0.01
GET       0.650         0.01
GET       0.660         0.04
GET       0.670         0.07
GET       0.680         0.09
GET       0.690         0.10
GET       0.700         0.12
GET       0.710         0.15
GET       0.720         0.17
GET       0.730         0.26
GET       0.740         0.30
GET       0.750         0.34
GET       0.760         0.46
GET       0.770         0.57
GET       0.780         0.67
GET       0.790         0.83
GET       0.800         0.98
GET       0.810         1.15
GET       0.820         1.31
GET       0.830         1.50
GET       0.840         1.72
GET       0.850         1.88
GET       0.860         2.14
GET       0.870         2.40
GET       0.880         2.71
GET       0.890         3.00
GET       0.900         3.37
GET       0.910         3.69
GET       0.920         4.06
GET       0.930         4.41
GET       0.940         4.77
GET       0.950         5.19
GET       0.960         5.64
GET       0.970         6.06
GET       0.980         6.49
GET       0.990         6.90
GET       1.000         9.49
GET       1.100        14.25
GET       1.200        18.60
GET       1.300        21.90
GET       1.400        24.42
GET       1.500        26.35
GET       1.600        27.94
GET       1.700        29.11
GET       1.800        30.07
GET       1.900        31.95
GET       2.000        35.32
GET       2.100        40.06
GET       2.200        45.93
GET       2.300        52.89
GET       2.400        59.67
GET       2.500        66.12
GET       2.600        71.38
GET       2.700        75.38
GET       2.800        78.53
GET       2.900        81.10
GET       3.000        83.05
GET       3.100        84.66
GET       3.200        85.96
GET       3.300        87.11
GET       3.400        88.02
GET       3.500        88.75
GET       3.600        89.59
GET       3.700        90.40
GET       3.800        91.07
GET       3.900        91.70
GET       4.000        92.20
GET       4.100        92.73
GET       4.200        93.21
GET       4.300        93.64
GET       4.400        94.12
GET       4.500        94.51
GET       4.600        94.88
GET       4.700        95.22
GET       4.800        95.54
GET       4.900        95.80
GET       5.000        96.10
GET       5.100        96.42
GET       5.200        96.68
GET       5.300        96.84
GET       5.400        97.03
GET       5.500        97.24
GET       5.600        97.36
GET       5.700        97.51
GET       5.800        97.63
GET       5.900        97.77
GET       6.000        97.89
GET       6.100        98.04
GET       6.200        98.15
GET       6.300        98.20
GET       6.400        98.28
GET       6.500        98.33
GET       6.600        98.42
GET       6.700        98.44
GET       6.800        98.50
GET       6.900        98.56
GET       7.000        98.62
GET       7.100        98.65
GET       7.200        98.70
GET       7.300        98.76
GET       7.400        98.82
GET       7.500        98.89
GET       7.600        98.96
GET       7.700        99.00
GET       7.800        99.03
GET       7.900        99.06
GET       8.000        99.09
GET       8.100        99.12
GET       8.200        99.16
GET       8.300        99.20
GET       8.400        99.24
GET       8.500        99.27
GET       8.600        99.31
GET       8.700        99.37
GET       8.800        99.40
GET       8.900        99.43
GET       9.000        99.46
GET       9.100        99.49
GET       9.200        99.54
GET       9.300        99.58
GET       9.400        99.64
GET       9.500        99.68
GET       9.600        99.70
GET       9.700        99.73
GET       9.800        99.75
GET       9.900        99.76
GET      10.000        99.84
GET      11.000        99.89
GET      12.000        99.92
GET      13.000        99.94
GET      14.000        99.95
GET      15.000        99.96
GET      16.000        99.97
GET      22.000        99.97
GET      27.000        99.98
GET      29.000        99.98
GET      36.000        99.99
GET      37.000        99.99
GET     200.000       100.00
GET     210.000       100.00
---
