1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         273.36          ---          ---      3.70000       284.14
Gets         273.36       795.23        24.83      3.59900       830.66
Waits          0.00          ---          ---      0.00000          ---
Totals       546.71       795.23        24.83      3.65000      1114.79


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.100         0.04
SET       2.200         0.41
SET       2.300         2.15
SET       2.400         6.74
SET       2.500        14.63
SET       2.600        25.14
SET       2.700        36.42
SET       2.800        47.10
SET       2.900        56.04
SET       3.000        63.06
SET       3.100        68.67
SET       3.200        72.86
SET       3.300        76.05
SET       3.400        78.42
SET       3.500        80.37
SET       3.600        82.04
SET       3.700        83.20
SET       3.800        84.14
SET       3.900        84.93
SET       4.000        85.55
SET       4.100        85.96
SET       4.200        86.37
SET       4.300        86.78
SET       4.400        87.14
SET       4.500        87.44
SET       4.600        87.66
SET       4.700        87.82
SET       4.800        88.02
SET       4.900        88.32
SET       5.000        88.56
SET       5.100        88.73
SET       5.200        88.87
SET       5.300        89.00
SET       5.400        89.14
SET       5.500        89.26
SET       5.600        89.39
SET       5.700        89.49
SET       5.800        89.52
SET       5.900        89.59
SET       6.000        89.64
SET       6.100        89.71
SET       6.200        89.79
SET       6.300        89.84
SET       6.400        89.91
SET       6.500        89.98
SET       6.600        90.03
SET       6.700        90.10
SET       6.800        90.21
SET       6.900        90.26
SET       7.000        90.31
SET       7.100        90.36
SET       7.200        90.38
SET       7.300        90.42
SET       7.400        90.45
SET       7.500        90.51
SET       7.600        90.59
SET       7.700        90.73
SET       7.800        90.97
SET       7.900        91.17
SET       8.000        91.37
SET       8.100        91.67
SET       8.200        91.93
SET       8.300        92.16
SET       8.400        92.40
SET       8.500        92.63
SET       8.600        92.84
SET       8.700        92.99
SET       8.800        93.16
SET       8.900        93.35
SET       9.000        93.64
SET       9.100        93.86
SET       9.200        94.09
SET       9.300        94.46
SET       9.400        94.83
SET       9.500        95.23
SET       9.600        95.79
SET       9.700        96.32
SET       9.800        96.77
SET       9.900        97.25
SET      10.000        98.84
SET      11.000        99.37
SET      12.000        99.54
SET      13.000        99.60
SET      14.000        99.65
SET      15.000        99.68
SET      16.000        99.70
SET      17.000        99.74
SET      18.000        99.78
SET      19.000        99.80
SET      20.000        99.82
SET      21.000        99.84
SET      24.000        99.85
SET      28.000        99.85
SET      30.000        99.88
SET      44.000        99.89
SET      48.000        99.90
SET      51.000        99.91
SET      53.000        99.93
SET      58.000        99.93
SET      59.000        99.94
SET      63.000        99.95
SET      65.000        99.95
SET      68.000        99.97
SET      77.000        99.98
SET      80.000        99.99
SET      85.000        99.99
SET     230.000       100.00
---
GET       2.000         0.01
GET       2.100         0.12
GET       2.200         0.96
GET       2.300         4.13
GET       2.400        10.83
GET       2.500        20.16
GET       2.600        30.96
GET       2.700        41.97
GET       2.800        51.68
GET       2.900        59.60
GET       3.000        65.77
GET       3.100        70.80
GET       3.200        74.48
GET       3.300        77.26
GET       3.400        79.72
GET       3.500        81.39
GET       3.600        82.92
GET       3.700        83.92
GET       3.800        84.77
GET       3.900        85.50
GET       4.000        86.11
GET       4.100        86.61
GET       4.200        87.00
GET       4.300        87.31
GET       4.400        87.64
GET       4.500        87.93
GET       4.600        88.10
GET       4.700        88.28
GET       4.800        88.45
GET       4.900        88.65
GET       5.000        88.84
GET       5.100        89.01
GET       5.200        89.18
GET       5.300        89.29
GET       5.400        89.42
GET       5.500        89.47
GET       5.600        89.59
GET       5.700        89.69
GET       5.800        89.75
GET       5.900        89.80
GET       6.000        89.91
GET       6.100        89.98
GET       6.200        90.07
GET       6.300        90.14
GET       6.400        90.20
GET       6.500        90.28
GET       6.600        90.36
GET       6.700        90.42
GET       6.800        90.50
GET       6.900        90.53
GET       7.000        90.60
GET       7.100        90.65
GET       7.200        90.71
GET       7.300        90.75
GET       7.400        90.76
GET       7.500        90.82
GET       7.600        90.96
GET       7.700        91.10
GET       7.800        91.35
GET       7.900        91.59
GET       8.000        91.84
GET       8.100        92.03
GET       8.200        92.24
GET       8.300        92.45
GET       8.400        92.67
GET       8.500        92.98
GET       8.600        93.20
GET       8.700        93.49
GET       8.800        93.74
GET       8.900        93.90
GET       9.000        94.15
GET       9.100        94.38
GET       9.200        94.79
GET       9.300        95.20
GET       9.400        95.63
GET       9.500        96.09
GET       9.600        96.71
GET       9.700        97.23
GET       9.800        97.67
GET       9.900        98.01
GET      10.000        99.13
GET      11.000        99.50
GET      12.000        99.59
GET      13.000        99.67
GET      14.000        99.74
GET      15.000        99.75
GET      16.000        99.77
GET      17.000        99.78
GET      18.000        99.81
GET      19.000        99.84
GET      20.000        99.87
GET      21.000        99.88
GET      23.000        99.88
GET      24.000        99.89
GET      25.000        99.90
GET      27.000        99.90
GET      30.000        99.91
GET      32.000        99.92
GET      34.000        99.93
GET      36.000        99.93
GET      39.000        99.95
GET      45.000        99.95
GET      47.000        99.96
GET      52.000        99.96
GET      59.000        99.97
GET      70.000        99.98
GET      73.000        99.99
GET      86.000        99.99
GET     230.000       100.00
---
