1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         137.66          ---          ---      7.80400       143.09
Gets         137.63       823.87         1.90      6.70900       858.85
Waits          0.00          ---          ---      0.00000          ---
Totals       275.29       823.87         1.90      7.25600      1001.94


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       5.100         0.01
SET       5.200         0.10
SET       5.300         0.45
SET       5.400         1.10
SET       5.500         2.24
SET       5.600         3.84
SET       5.700         5.80
SET       5.800         8.40
SET       5.900        11.66
SET       6.000        15.50
SET       6.100        19.14
SET       6.200        23.22
SET       6.300        27.30
SET       6.400        31.36
SET       6.500        35.38
SET       6.600        39.16
SET       6.700        43.05
SET       6.800        46.54
SET       6.900        50.27
SET       7.000        54.49
SET       7.100        57.31
SET       7.200        60.46
SET       7.300        63.22
SET       7.400        65.73
SET       7.500        67.55
SET       7.600        69.55
SET       7.700        71.23
SET       7.800        72.74
SET       7.900        74.56
SET       8.000        76.53
SET       8.100        77.68
SET       8.200        78.84
SET       8.300        79.94
SET       8.400        80.97
SET       8.500        82.23
SET       8.600        83.16
SET       8.700        84.08
SET       8.800        84.94
SET       8.900        85.71
SET       9.000        86.61
SET       9.100        87.40
SET       9.200        87.98
SET       9.300        88.54
SET       9.400        88.97
SET       9.500        89.44
SET       9.600        89.99
SET       9.700        90.46
SET       9.800        90.87
SET       9.900        91.28
SET      10.000        93.47
SET      11.000        95.93
SET      12.000        97.38
SET      13.000        98.10
SET      14.000        98.45
SET      15.000        98.86
SET      16.000        99.07
SET      17.000        99.25
SET      18.000        99.39
SET      19.000        99.47
SET      20.000        99.50
SET      21.000        99.54
SET      22.000        99.58
SET      23.000        99.60
SET      24.000        99.61
SET      25.000        99.65
SET      26.000        99.69
SET      27.000        99.70
SET      28.000        99.72
SET      31.000        99.73
SET      33.000        99.75
SET      34.000        99.77
SET      40.000        99.78
SET      42.000        99.79
SET      44.000        99.81
SET      46.000        99.82
SET      48.000        99.83
SET      49.000        99.84
SET      50.000        99.85
SET      54.000        99.87
SET      55.000        99.90
SET      65.000        99.92
SET      71.000        99.94
SET      75.000        99.95
SET     280.000        99.96
SET     580.000        99.99
SET     670.000       100.00
---
GET       4.200         0.01
GET       4.300         0.11
GET       4.400         0.52
GET       4.500         1.31
GET       4.600         2.71
GET       4.700         4.38
GET       4.800         6.96
GET       4.900        10.17
GET       5.000        13.54
GET       5.100        17.45
GET       5.200        21.26
GET       5.300        25.21
GET       5.400        29.26
GET       5.500        33.36
GET       5.600        36.84
GET       5.700        40.54
GET       5.800        44.04
GET       5.900        47.51
GET       6.000        51.47
GET       6.100        54.86
GET       6.200        58.04
GET       6.300        61.07
GET       6.400        63.26
GET       6.500        65.55
GET       6.600        67.67
GET       6.700        69.73
GET       6.800        71.43
GET       6.900        73.08
GET       7.000        75.16
GET       7.100        76.62
GET       7.200        77.82
GET       7.300        79.09
GET       7.400        80.13
GET       7.500        81.28
GET       7.600        82.30
GET       7.700        83.19
GET       7.800        84.14
GET       7.900        84.85
GET       8.000        85.80
GET       8.100        86.56
GET       8.200        87.22
GET       8.300        87.85
GET       8.400        88.45
GET       8.500        88.96
GET       8.600        89.56
GET       8.700        89.94
GET       8.800        90.26
GET       8.900        90.69
GET       9.000        91.24
GET       9.100        91.62
GET       9.200        92.01
GET       9.300        92.50
GET       9.400        92.94
GET       9.500        93.21
GET       9.600        93.63
GET       9.700        93.86
GET       9.800        94.20
GET       9.900        94.41
GET      10.000        95.74
GET      11.000        97.08
GET      12.000        98.05
GET      13.000        98.63
GET      14.000        99.04
GET      15.000        99.22
GET      16.000        99.49
GET      17.000        99.52
GET      18.000        99.60
GET      19.000        99.65
GET      20.000        99.70
GET      22.000        99.73
GET      23.000        99.75
GET      25.000        99.77
GET      27.000        99.78
GET      28.000        99.81
GET      29.000        99.82
GET      31.000        99.84
GET      32.000        99.85
GET      35.000        99.88
GET      36.000        99.89
GET      37.000        99.90
GET      52.000        99.92
GET      67.000        99.93
GET      85.000        99.94
GET      86.000        99.95
GET      92.000        99.96
GET      96.000        99.98
GET     200.000        99.99
GET     650.000       100.00
---
