1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         309.55          ---          ---      3.20200       321.76
Gets         309.53      1825.18        32.01      3.24000      1903.07
Waits          0.00          ---          ---      0.00000          ---
Totals       619.08      1825.18        32.01      3.22100      2224.83


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       2.000         0.03
SET       2.100         0.47
SET       2.200         2.64
SET       2.300         8.64
SET       2.400        18.20
SET       2.500        29.86
SET       2.600        41.40
SET       2.700        51.19
SET       2.800        58.92
SET       2.900        64.65
SET       3.000        69.37
SET       3.100        72.75
SET       3.200        75.57
SET       3.300        77.63
SET       3.400        79.50
SET       3.500        80.92
SET       3.600        82.23
SET       3.700        83.41
SET       3.800        84.39
SET       3.900        85.46
SET       4.000        86.60
SET       4.100        87.48
SET       4.200        88.18
SET       4.300        89.16
SET       4.400        89.91
SET       4.500        90.65
SET       4.600        91.22
SET       4.700        91.77
SET       4.800        92.23
SET       4.900        92.76
SET       5.000        93.26
SET       5.100        93.70
SET       5.200        94.07
SET       5.300        94.42
SET       5.400        94.75
SET       5.500        95.10
SET       5.600        95.31
SET       5.700        95.61
SET       5.800        95.88
SET       5.900        96.05
SET       6.000        96.18
SET       6.100        96.38
SET       6.200        96.55
SET       6.300        96.73
SET       6.400        96.88
SET       6.500        97.03
SET       6.600        97.15
SET       6.700        97.28
SET       6.800        97.43
SET       6.900        97.57
SET       7.000        97.67
SET       7.100        97.75
SET       7.200        97.80
SET       7.300        97.87
SET       7.400        97.94
SET       7.500        98.01
SET       7.600        98.08
SET       7.700        98.17
SET       7.800        98.21
SET       7.900        98.26
SET       8.000        98.33
SET       8.100        98.42
SET       8.200        98.46
SET       8.300        98.52
SET       8.400        98.58
SET       8.500        98.64
SET       8.600        98.70
SET       8.700        98.72
SET       8.800        98.78
SET       8.900        98.84
SET       9.000        98.89
SET       9.100        98.95
SET       9.200        98.99
SET       9.300        99.03
SET       9.400        99.08
SET       9.500        99.11
SET       9.600        99.15
SET       9.700        99.19
SET       9.800        99.26
SET       9.900        99.28
SET      10.000        99.46
SET      11.000        99.68
SET      12.000        99.80
SET      13.000        99.84
SET      14.000        99.86
SET      15.000        99.88
SET      16.000        99.88
SET      17.000        99.90
SET      18.000        99.90
SET      19.000        99.91
SET      20.000        99.92
SET      22.000        99.93
SET      23.000        99.94
SET      25.000        99.95
SET      38.000        99.95
SET      39.000        99.96
SET      40.000        99.97
SET      48.000        99.97
SET      53.000        99.98
SET      57.000        99.98
SET      65.000        99.99
SET      99.000        99.99
SET     180.000       100.00
---
GET       2.000         0.03
GET       2.100         0.33
GET       2.200         1.79
GET       2.300         6.36
GET       2.400        14.28
GET       2.500        25.64
GET       2.600        37.24
GET       2.700        47.57
GET       2.800        55.98
GET       2.900        62.40
GET       3.000        67.70
GET       3.100        71.73
GET       3.200        74.78
GET       3.300        77.16
GET       3.400        79.26
GET       3.500        80.87
GET       3.600        82.11
GET       3.700        83.40
GET       3.800        84.41
GET       3.900        85.44
GET       4.000        86.47
GET       4.100        87.34
GET       4.200        87.98
GET       4.300        88.83
GET       4.400        89.66
GET       4.500        90.39
GET       4.600        91.04
GET       4.700        91.60
GET       4.800        92.12
GET       4.900        92.66
GET       5.000        93.12
GET       5.100        93.49
GET       5.200        93.90
GET       5.300        94.28
GET       5.400        94.72
GET       5.500        95.03
GET       5.600        95.30
GET       5.700        95.64
GET       5.800        95.90
GET       5.900        96.10
GET       6.000        96.27
GET       6.100        96.45
GET       6.200        96.66
GET       6.300        96.85
GET       6.400        97.01
GET       6.500        97.12
GET       6.600        97.28
GET       6.700        97.37
GET       6.800        97.49
GET       6.900        97.64
GET       7.000        97.76
GET       7.100        97.85
GET       7.200        97.94
GET       7.300        98.05
GET       7.400        98.10
GET       7.500        98.16
GET       7.600        98.24
GET       7.700        98.29
GET       7.800        98.33
GET       7.900        98.40
GET       8.000        98.46
GET       8.100        98.55
GET       8.200        98.59
GET       8.300        98.65
GET       8.400        98.71
GET       8.500        98.76
GET       8.600        98.79
GET       8.700        98.82
GET       8.800        98.88
GET       8.900        98.91
GET       9.000        98.94
GET       9.100        99.00
GET       9.200        99.03
GET       9.300        99.08
GET       9.400        99.14
GET       9.500        99.18
GET       9.600        99.21
GET       9.700        99.29
GET       9.800        99.34
GET       9.900        99.36
GET      10.000        99.57
GET      11.000        99.73
GET      12.000        99.78
GET      13.000        99.82
GET      14.000        99.85
GET      15.000        99.89
GET      16.000        99.90
GET      17.000        99.93
GET      18.000        99.94
GET      20.000        99.96
GET      21.000        99.97
GET      27.000        99.97
GET      34.000        99.98
GET      48.000        99.98
GET      84.000        99.99
GET     310.000       100.00
---
