1         Threads
2         Connections per thread
60        Seconds


ALL STATS
========================================================================
Type        Ops/sec     Hits/sec   Misses/sec      Latency       KB/sec
------------------------------------------------------------------------
Sets         217.99          ---          ---      4.87600       226.59
Gets         217.97      1304.46         3.38      4.28200      1359.85
Waits          0.00          ---          ---      0.00000          ---
Totals       435.96      1304.46         3.38      4.57900      1586.44


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.000         0.02
SET       1.100         0.24
SET       1.200         1.05
SET       1.300         3.13
SET       1.400         6.46
SET       1.500        10.73
SET       1.600        15.60
SET       1.700        20.23
SET       1.800        25.24
SET       1.900        30.19
SET       2.000        34.43
SET       2.100        38.46
SET       2.200        41.74
SET       2.300        44.69
SET       2.400        47.44
SET       2.500        49.76
SET       2.600        51.77
SET       2.700        53.72
SET       2.800        55.15
SET       2.900        56.49
SET       3.000        57.78
SET       3.100        58.52
SET       3.200        59.41
SET       3.300        60.02
SET       3.400        60.57
SET       3.500        61.02
SET       3.600        61.48
SET       3.700        61.83
SET       3.800        62.04
SET       3.900        62.36
SET       4.000        62.72
SET       4.100        63.00
SET       4.200        63.20
SET       4.300        63.44
SET       4.400        63.59
SET       4.500        63.76
SET       4.600        63.92
SET       4.700        64.04
SET       4.800        64.17
SET       4.900        64.37
SET       5.000        64.54
SET       5.100        64.63
SET       5.200        64.73
SET       5.300        64.89
SET       5.400        64.97
SET       5.500        65.09
SET       5.600        65.21
SET       5.700        65.32
SET       5.800        65.37
SET       5.900        65.46
SET       6.000        65.57
SET       6.100        65.63
SET       6.200        65.76
SET       6.300        65.84
SET       6.400        65.91
SET       6.500        65.97
SET       6.600        66.05
SET       6.700        66.09
SET       6.800        66.18
SET       6.900        66.22
SET       7.000        66.31
SET       7.100        66.34
SET       7.200        66.48
SET       7.300        66.55
SET       7.400        66.61
SET       7.500        66.76
SET       7.600        66.92
SET       7.700        67.10
SET       7.800        67.34
SET       7.900        67.70
SET       8.000        68.28
SET       8.100        68.88
SET       8.200        69.63
SET       8.300        70.57
SET       8.400        71.79
SET       8.500        73.10
SET       8.600        74.68
SET       8.700        76.21
SET       8.800        78.18
SET       8.900        79.93
SET       9.000        81.75
SET       9.100        83.38
